id,series1,series2,text1,text2
0,Shamela0005880,Shamela0009783BK1,OpenITI#\n\n\n#META# 000.SortField	:: Shamela_0005880\n#META# 000.BookURI	:: #0280.IbnTayfur.Baghdad\n#META# 010.AuthorAKA	:: NODATA\n#META# 010.AuthorNAME	:: أبو الفضل أحمد بن أبي طاهر ابن طيفور (المتوفى: 280هـ)\n#META# 011.AuthorBORN	:: NOTGIVEN\n#META# 011.AuthorDIED	:: 280\n#META# 019.AuthorDIED	:: NODATA\n#META# 020.BookTITLE	:: كتاب بغداد\n#META# 020.BookTITLESUB	:: NODATA\n#META# 021.BookSUBJ	:: التراجم والطبقات\n#META# 022.BookVOLS	:: 1\n#META# 025.BookLANG	:: NODATA\n#META# 029.BookTITLEalt	:: NODATA\n#META# 030.LibURI	:: Shamela_0005880\n#META# 030.LibURIextra	:: NODATA\n#META# 031.LibREADONLINE	:: http://shamela.ws/browse.php/book‐5880\n#META# 031.LibURL	:: http://shamela.ws/index.php/book/5880\n#META# 031.LibURLFILE	:: NODATA\n#META# 031.LibURLextra	:: NODATA\n#META# 040.EdALL	:: NODATA\n#META# 040.EdEDITOR	:: السيد عزت العطار الحسيني\n#META# 041.EdNUMBER	:: الثالثة، 1423هـ ‐ 2002م\n#META# 041.EdNumber	:: NODATA\n#META# 043.EdPUBLISHER	:: مكتبة الخانجي ‐ القاهرة / مصر\n#META# 044.EdPLACE	:: NODATA\n#META# 045.EdYEAR	:: NODATA\n#META# 049.EdISBN	:: NODATA\n#META# 049.EdPAGES	:: NODATA\n#META# 049.EdPHYSICAL	:: NODATA\n#META# 049.EdVOLUME	:: NODATA\n#META# 090.RecMISC	:: NODATA\n#META# 999.MiscINFO	:: NODATA\n\n#META#Header#End#\n\n# ,OpenITI#\n\n\n#META# 000.SortField	:: Shamela_0009783\n#META# 000.BookURI	:: NOCODE\n#META# 010.AuthorAKA	:: NODATA\n#META# 010.AuthorNAME	:: محمد بن جرير بن يزيد بن كثير بن غالب الآملي، أبو جعفر الطبري (المتوفى: 310ه)\n#META# 011.AuthorBORN	:: NOTGIVEN\n#META# 011.AuthorDIED	:: 310\n#META# 019.AuthorDIED	:: NODATA\n#META# 020.BookTITLE	:: تاريخ الطبري = تاريخ الرسل والملوك، وصلة تاريخ الطبري\n#META# 020.BookTITLESUB	:: NODATA\n#META# 021.BookSUBJ	:: التاريخ\n#META# 022.BookVOLS	:: 11\n#META# 025.BookLANG	:: NODATA\n#META# 029.BookTITLEalt	:: NODATA\n#META# 030.LibURI	:: Shamela_0009783\n#META# 030.LibURIextra	:: NODATA\n#META# 031.LibREADONLINE	:: http://shamela.ws/browse.php/book‐9783\n#META# 031.LibURL	:: http://shamela.ws/index.php/book/9783\n#META# 031.LibURLFILE	:: NODATA\n#META# 031.LibURLextra	:: NODATA\n#META# 040.EdALL	:: NODATA\n#META# 040.EdEDITOR	:: NODATA\n#META# 041.EdNUMBER	:: الثانية ‐ 1387 ه\n#META# 041.EdNumber	:: NODATA\n#META# 043.EdPUBLISHER	:: دار التراث ‐ بيروت\n#META# 044.EdPLACE	:: NODATA\n#META# 045.EdYEAR	:: NODATA\n#META# 049.EdISBN	:: NODATA\n#META# 049.EdPAGES	:: NODATA\n#META# 049.EdPHYSICAL	:: NODATA\n#META# 049.EdVOLUME	:: NODATA\n#META# 090.RecMISC	:: NODATA\n#META# 999.MiscINFO	:: NODATA\n\n#META#Header#End#\n\n### | 
1,Shamela0005880,Shamela0009783BK1,المأمون عبد الله بن طاهر فلما دخل عليه قال له يا ms016 عبد الله: إني\n~~استخير الله منذ شهر وأرجو أن يخير الله لي، ورأيت الرجل يصف ابنه ليطريه\n~~لرأيه فيه وليرفعه ورأيتك فوق ما قال أبوك فيك وقد مات يحيى بن معاذ\n~~واستخلف ابنه أحمد بن يحيى وليس بشيء، وقد رأيت توليتك مضر ومحاربة نصر بن\n~~شبث. فقال: السمع والطاعة يا أمير المؤمنين، وأرجو أن يجعل الله لأمير\n~~المؤمنين الخيرة وللمسلمين. قال فعقد له. ثم أمر أن تقطع حبال القصارين عن\n~~طريقه [وتنحى] عن الطرقات [المظال] لئلا يكون في طريقه ما يرد لواءه ثم عقد\n~~له لواء [,المأمون عبد الله بن طاهر الرقة لحرب نصر بن شبث ومضر.\n# ذكر الخبر عن سبب توليته إياه:\n# وكان السبب في ذلك‐ فيما ذكر‐ أن يحيى بن معاذ كان المأمون ولاه الجزيرة،\n~~فمات في هذه السنة، واستخلف ابنه أحمد على عمله، فذكر عن يحيى بن الحسن بن\n~~عبد الخالق، أن المأمون دعا عبد الله بن طاهر في شهر رمضان، فقال بعض: كان\n~~ذلك في سنة خمس ومائتين، وقال بعض: في سنة ست وقال بعض: في سنة سبع فلما\n~~دخل عليه، قال: يا عبد الله أستخير الله منذ شهر، وأرجو أن يخير الله لي،\n~~ورأيت الرجل يصف ابنه ليطريه لرأيه فيه، وليرفعه، ورأيتك فوق ما قال ابوك\n~~فيك، وقد مات يحيى ابن معاذ، واستخلف ابنه أحمد بن يحيى، وليس بشيء، وقد\n~~رأيت توليتك مضر ومحاربة نصر بن شبث، فقال: السمع والطاعة يا أمير\n~~المؤمنين، وأرجو أن يجعل الله الخيرة لأمير المؤمنين وللمسلمين.\n# قال: فعقد له، ثم ms4119 أمر أن تقطع حبال القصارين عن طريقه، وتنحى عن الطرقات\n~~المظال، كيلا يكون في طريقه ما يرد لواءه، ثم عقد له لواء\n
2,Shamela0005880,Shamela0009783BK1,بما كان؟ . قلت: نعم. قال: فأكتب بوفاته\n~~وأعطاني خمسمائة ألف ومائتي ثوب فكتبت بوفاته وبقيام طلحة بالجيش.\n# قال: فوردت الخريطة على المأمون بخلعه غدوة فدعى ابن أبي خالد فقال: أشخص\n~~فأت به كما زعمت وضمنت. قال: أبيت ليلتي. قال: لا لعمري لا تبيت إلا على\n~~ظهر. فلم يزل يناشده حتى أذن له في المبيت، ووافت الخريطة بموته ليلا فدعاه\n~~فقال له: قد مات فمن ترى؟ قال: ابنه طلحة. قال: الصواب. فأكتب ms063 بتوليته.\n~~فكتب بذلك وأقام طلحة فيما ذكر لنا يحيى بن الحسن واليا على خراسان في أيام\n~~المأمون سبع سنين بعد موت طاهر، ثم توفي وولى عبد الله بن طاهر خراسان وكان\n~~يتولى حرب بابك فأقام بالدينور ووجه الجيوش ووردت وفاة طلحة على المأمون\n~~فبعث إلى عبد الله بن طاهر بيحيى بن أكثم يعزيه عن أخيه ويهنئه بولاية\n~~خراسان وولى علي بن هشام حرب بابك.\n# ,بما كان؟ قلت: نعم، قال: فاكتب بوفاته، وأعطاني خمسمائة ألف ومائتي ثوب،\n~~فكتبت بوفاته وبقيام طلحة بالجيش.\n# قال: فوردت الخريطة على المأمون بخلعه غدوة، فدعا ابن أبي خالد فقال له:\n~~اشخص: فأت به‐ كما زعمت، وضمنت‐ قال: أبيت ليلتي، قال: لا لعمري لا تبيت\n~~إلا على ظهر فلم يزل يناشده حتى أذن له في المبيت قال: ووافت الخريطة بموته\n~~ليلا، فدعاه فقال: قد مات، فمن ترى؟ قال: ابنه طلحة، قال: الصواب ما قلت،\n~~فاكتب بتوليته فكتب بذلك، وأقام طلحة واليا على خراسان في أيام المأمون سبع\n~~سنين بعد موت طاهر، ثم توفي، وولي عبد الله خراسان‐ وكان يتولى حرب بابك‐\n~~فأقام بالدينور، ووجه الجيوش، ووردت وفاة طلحة على المأمون، فبعث إلى عبد\n~~الله يحيى بن أكثم يعزيه عن أخيه ويهنئه بولاية خراسان، وولى علي بن هشام\n~~حرب بابك.\n# 
3,Shamela0005880,Shamela0009783BK1,ما ألين الكنف الذي بوأتني ... وطنا وآمن راية للراقع)\n# (للصالحات أخا جعلت وللتقي ... وأبا رؤوفا للفقير القانع)\n# (إن الذي قسم الفضائل حازها ... في صلب آدم للإمام السابع)\n# (جمع القلوب عليك جامع أمرها ... وحوى ودادك كل أمر جامع)\n# (نفسي فداؤك إذ تضل معاذري ... وألوذ منك بفضل حلم وأسع)\n# (أملا لفضلك والفواضل جمة ... رفعت بناءك بالمحل اليافع)\n# (فبذلت أفضل ما يضيق ببذله ... وسع النفوس من الفعال البارع)\n# (وعفوت عمن لم يكن عن مثله ... عفو ولم يشفع إليك بشافع)\n# (إلا العلو عن العقوبة بعد ما ... ظفرت يداك بمستكين خاضع)\n# (ورحمت أطفالا كأفراخ القطا ... وحنين والهة كقوس ms088 النازع)\n# (وعطفت آصرة على كما وعى ... بعد أنهياض الجسم عظم الظالع)\n# (الله يعلم ما أقول فإنها ... جهد الألية من حنيف راكع)\n# (ما إن عصيتك والغواة تمدني ... أسبابها إلا بنية طائع)\n# (والأفك منكدة اللسان وإنما ... تهدي إلى قذع لروع السامع)\n# (قسما وما أدلى لذاك بحجة ... غير التضرع من مقر باخع)\n# (حتى إذا علقت حبائل شقوة ... تردى على حفر المهالك هائع)\n# (لم أدر أن لمثل جرمي غافرا ... فأقمت أرقب أي حتف صارعي)\n# (رد الحياة على بعد ذهابها ... عفو الإمام القادر المتواضع)\n# (أحياك من ولأك أطول مدة ... ورمى عدوك في الوتين بقاطع)\n# ,ما ألين الكنف الذي بوأتني ... وطنا وأمرع رتعه للراتع\n# للصالحات أخا جعلت وللتقى ... وأبا رءوفا للفقير القانع\n# نفسي فداؤك إذ تضل معاذري ... وألوذ منك بفضل حلم واسع\n# أملا لفضلك والفواضل شيمة ... رفعت بناءك بالمحل اليافع\n# فبذلت أفضل ما يضيق ببذله ... وسع النفوس من الفعال البارع\n# وعفوت عمن لم يكن عن مثله ... عفو، ولم يشفع إليك بشافع\n# الا العلو عن العقوبة بعد ما ... ظفرت يداك بمستكين خاضع\n# فرحمت أطفالا كأفراخ القطا ... وعويل عانسة كقوس النازع\n# وعطفت آصرة على كما وعى ... بعد انهياض الوشى عظم الظالع\n# الله يعلم ما أقول فإنها ... جهد الألية ms4137 من حنيف راكع\n# ما أن عصيتك والغواة تقودني ... أسبابها إلا بنية طائع\n# حتى إذا علقت حبائل شقوتي ... بردى إلى حفر المهالك هائع\n# لم أدر أن لمثل جرمي غافرا ... فوقفت أنظر أي حتف صارعي\n# رد الحياة علي بعد ذهابها ... ورع الإمام القادر المتواضع\n# أحياك من ولاك أطول مدة ... ورمى عدوك في الوتين بقاطع\n# 
4,Shamela0005880,Shamela0009783BK1,متيقظ حذر وما يخشى العدا ... نبهان من وسنات ليل الهاجع)\n# (ملئت قلوب الناس منه مخافة ... ويبيت يكلؤهم بقلب خاشع)\n# (بأبي وأمي أفتدى وبينهما ... من كل معضلة وريب واقع)\n# ,متيقظا حذرا وما يخشى العدى ... نبهان من وسنات ليل الهاجع\n# ملئت قلوب الناس منك مخافة ... وتبيت تكلؤهم بقلب خاشع\n# بأبي وأمي فدية وبنيهما ... من كل معضلة وريب واقع\n# 
5,Shamela0005880,Shamela0009783BK1,عبد الله بن طاهر إلى عبيد الله بن السري\n### || قال أبو حسان الزيادي،\n# والهاشمي، والخوارزمي وجميع أصحاب التاريخ كتب\n~~المأمون إلى عبد الله بن طاهر لما وجه بنصر بن شبث إلى بغداد في سنة عشر\n~~ومائتين أن يتوجه إلى مصر وكان بينه وبين ابن السرى خلاف ومنعه من الدخول\n~~فكتب بذلك إلى أمير المؤمنين وأعلمه ما كان منه فكتب إليه في محاربته إن\n~~أمتنع فلم يزل كذلك حتى طلب الأمان.\n### ||| فحدثني\n# الحراني قال: ذكر عطاء صاحب مظالم عبد الله بن طاهر قال: قال رجل\n~~من أخوة أمير المؤمنين للمأمون يا أمير المؤمنين: إن عبد الله بن طاهر يميل\n~~إلى ولد أبي طالب وكذا كان أبوه وجده. قال فدفع المأمون ذلك وأنكره. ثم عاد\n~~بمثل هذا القول فدس إليه المأمون رجلا ثم قال له: امض في هيئة الغزاة أو\n~~النساك إلى مصر فادع جماعة من كبرائها إلى القاسم بن إبراهيم بن طباطبا\n~~واذكر مناقبه، وعلمه، وفضائله، ثم صر بعد ذلك إلى بعض بطانة عبد الله بن\n~~طاهر، ثم ائته فأدعه، ورغبه في استجابته له، وابحث عن دقيق نيته بحثا شافيا\n~~وأتني بما تسمع منه. قال: ففعل الرجل ما قال له وأمره به حتى إذا ,عبد الله بن طاهر بمصر واليا عليها وعلى سائر الشام\n~~والجزيرة، فذكر عن طاهر بن خالد ابن نزار الغساني، قال: كتب المأمون إلى\n~~عبد الله بن طاهر وهو بمصر حين فتحها في أسفل كتاب له:\n# أخي أنت ومولاي ... ومن أشكر نعماه\n# فما أحببت من أمر ... فإني الدهر أهواه\n# وما تكره من شيء ... فإني لست أرضاه\n# لك الله على ذاك ... لك الله لك الله\n# وذكر عن عطاء صاحب مظالم عبد الله بن طاهر، قال: قال رجل من أخوة المأمون\n~~للمأمون: يا أمير المؤمنين، إن عبد الله بن طاهر يميل إلى ولد أبي طالب،\n~~وكذا كان أبوه قبله قال: فدفع المأمون ذلك وأنكره، ثم عاد بمثل هذا القول،\n~~فدس إليه رجلا ثم قال له: امض ms4145 في هيئة القراء والنساك إلى مصر، فادع جماعة\n~~من كبرائها إلى القاسم بن إبراهيم بن طباطبا، واذكر مناقبه وعلمه وفضائله،\n~~ثم صر بعد ذلك إلى بعض بطانة عبد الله بن طاهر، ثم ائته فادعه ورغبه في\n~~استجابته له، وابحث عن دفين نيته بحثا شافيا، وائتني بما تسمع منه قال:\n~~ففعل الرجل ما قال له، وأمره به، حتى إذا\n
6,Shamela0005880,Shamela0009783BK1,خرج عبيد الله بن السري إلى عبد الله بن طاهر يوم\n~~الخميس لخمس بقين من رجب سنة أحدى عشرة ومائتين وأدخل عبد الله ابن السرى\n~~لسبع بقين من رجب وأنزل مدينة أبي جعفر المنصور. قال: وأقام عبد الله بن\n~~طاهر بمصر واليا عليها وسائر الشأم.\n### ||| حدثني\n# طاهر بن خالد بن نزار الغساني قال: كتب المأمون إلى عبد الله بن\n~~طاهر وهو بمصر حين فتح مصر في أسفل كتاب له: ‐\n# (أخي أنت ومولاي ... الذي أشكر نعماه)\n# (فما أحببت من أمر ... فإني اليوم أهواه)\n# (وما تكره من شيء ... فإني لست أرضاه)\n# (لك الله على ذاك ... لك الله لك الله)\n### ||| وحدثني\n# عبد الله بن أحمد بن يوسف: إن أباه كتب إلى عبد الله بن ,خروج عبيد الله بن السري إلى عبد الله بن طاهر بالأمان، ودخول\n~~عبد الله بن طاهر مصر‐ وقيل إن ذلك في سنة عشر ومائتين‐ وذكر بعضهم أن ابن\n~~السري خرج إلى عبد الله بن طاهر يوم السبت لخمس بقين من صفر سنة إحدى عشرة\n~~ومائتين، وأدخل بغداد لسبع بقين من رجب سنة إحدى عشرة ومائتين، وأنزل مدينة\n~~أبي جعفر، وأقام عبد الله بن طاهر بمصر واليا عليها وعلى سائر الشام\n~~والجزيرة، فذكر عن طاهر بن خالد ابن نزار الغساني، قال: كتب المأمون إلى\n~~عبد الله بن طاهر وهو بمصر حين فتحها في أسفل كتاب له:\n# أخي أنت ومولاي ... ومن أشكر نعماه\n# فما أحببت من أمر ... فإني الدهر أهواه\n# وما تكره من شيء ... فإني لست أرضاه\n# لك الله على ذاك ... لك الله لك الله\n# وذكر عن عطاء صاحب مظالم عبد الله بن 
7,Shamela0005880,Shamela0009783BK1,عليه فإنه لن يأتي أمرا يعتذر منه، لأنه قسم أيامه بين أيام\n~~الفضل فجعل لكل خلق نوبة إذا نظرت في أمره لم تدر أي حالاته أعجب أما هداه\n~~إليه عقله، أم ما اكتسبه بالأدب. قال: لقد مدحته على سوء رأيك فيه. قال:\n~~لأنه فيما قلت كما قال الشاعر: ‐\n# (كفى ثمنا لما أسديت أني ... مدحتك في الصديق وفي عدائي)\n# (وإنك حين تنصبني لأمر ... يكون هواك أغلب من هوائي)\n# قال: فأعجب المأمون كلامه واسترجح أدبه.\n# ,عليه، فإنه لن يأتي أمرا يعتذر منه، لأنه قسم أيامه بين أيام الفضل، فجعل\n~~لكل خلق نويه، إذا نظرت في أمره لم تدر أي حالاته أعجب! أما هداه إليه\n~~عقله، أم أما اكتسبه بالأدب، قال: لقد مدحته على سوء رأيك فيه! قال:\n# لأنه فيما قلت كما قال الشاعر:\n# كفى شكرا بما أسديت أني ... مدحتك في الصديق وفي عداتي\n# قال: فأعجب المأمون كلامه، واسترجح أدبه.\n# 
8,Shamela0005880,Shamela0009783BK1,لليلة بقيت من شهر ربيع الآخر وقتل على بن هشام، وأخاه الحسين بن هشام في \n# جمادى الأولى للذي بلغه من سوء سيرته وقتله الرجال، وأخذه الأموال وكان\n~~أراد أن يفتك بعجيف بن عنبسة حيث توجه إليه ويذهب إلى بابك. وكان الذي ضرب\n~~عنق على. ابن الخليل والذي تولى ضرب عنق الحسين. محمد بن يوسف ابن أخيه\n~~بأذنه يوم الأربعاء لأربع عشرة ليلة بقيت من جمادى الأولى ثم بعث برأس علي\n~~بن هشام إلى بغداد وخراسان فقدم ترك مولى أبي الحسين إسحاق بن إبراهيم برأس\n~~على ليلة الخميس لسبع بقين من جمادى الآخرة فطافوا به ثم إلى رموه الشام\n~~والجزيرة فطاف به كورة. كورة. فقدم به دمشق في ذي الحجة ثم ذهب به إلى مصر\n~~ثم ألقى بعد ذلك في البحر.\n### ||| ,لليلة بقيت من شهر ms4152 ربيع الآخر.\n# وورد المأمون فيها مصر في المحرم، فأتى بعبدوس الفهري فضرب عنقه، وانصرف\n~~الى الشام.\n### ||| ذكر الخبر عن قتل على وحسين ابنى هشام\n# وفيها قتل المأمون ابني هشام عليا وحسينا بأذنة في جمادى الأولى ذكر\n~~الخبر عن سبب قتله عليا:\n# وكان سبب ذلك، أن المأمون للذي بلغه من سوء سيرته في أهل عمله الذي كان\n~~المأمون ولاه‐ وكان ولاه كور الجبال‐ وقتله الرجال، وأخذه الأموال، فوجه\n~~إليه عجيف، فأراد أن يفتك به ويلحق ببابك، فظفر به عجيف، فقدم به على\n~~المأمون، فأمر بضرب عنقه، فتولى قتله ابن الجليل وتولى ضرب عنق الحسين محمد\n~~بن يوسف ابن أخيه بأذنة، يوم الأربعاء لأربع عشرة ليلة بقيت من جمادى\n~~الأولى، ثم بعث رأس علي بن هشام إلى بغداد وخراسان، فطيف به، ثم رد إلى\n~~الشام والجزيرة فطيف به كورة كورة، فقدم به دمشق في ذي الحجة، ثم ذهب به\n~~إلى مصر، ثم ألقي بعد ذلك في البحر.\n# 
9,Shamela0005880,Shamela0009783BK1,المأمون ببوران بنت الحسن بن سهل)\n### ||| قال\n# أحمد بن أبي طاهر: ذكر أصحاب التاريخ أن بناء المأمون بيوران بنت\n~~الحسن كان في شهر رمضان من سنة عشر ومائتين وأنه لما مضى إلى فم الصلح إلى\n~~معسكر الحسن بن سهل حمل معه إبراهيم بن المهدي، ومر ,المأمون ببوران بنت الحسن بن سهل في رمضان منها.\n# ذكر الخبر عن أمر المأمون في ذلك وما كان في أيام بنائه:\n# ذكر أن المأمون لما مضى إلى فم الصلح إلى معسكر الحسن بن سهل، حمل معه\n~~إبراهيم بن المهدي، وشخص 
