section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 باب البيان من علو مراتبهم، وترفيع منازلهم,7,0,0,0
 ,322,0,0,0
 باب البيان عن أوصاف المتحققين بالفقر,6,0,0,0
 ,101,0,0,0
 ص ,17,0,0,0
 ومن أصولهم السكون إلى ضمانه والتعري من الإعراض وطغيانه,9,0,0,0
 ,119,0,0,0
 ومنها العدول عن الادخار، والتبرؤ من الاختيار,7,0,0,0
 ,82,0,0,0
 ,58,0,0,0
 ومنها خروجهم عن التبييت حذرا من التعيير والتبكيت,8,0,0,0
 ,84,0,0,0
 ومنها التجزي بالكفاف تزينا للعفاف,5,0,0,0
 ,41,0,0,0
 ومنها الإعراض عما يلهي رعاية لما يدنى,7,0,0,0
 ,50,0,0,0
 ومنها التبرم بما ينقضي ويبلى حنينا إلى ما يدوم ويبقى,10,0,0,0
 ,60,0,0,0
 ,60,0,0,0
 ومنها اعتمادهم على حميد كفاية الله في الانقطاع إليه، واحترازهم من عرض الدنيا خوفا من الركون إليه,17,0,0,0
 ,60,0,0,0
 ومنها إدمان المراقبة في الإعلان والمخافتة,6,0,0,0
 ,50,0,0,0
 ,25,0,0,0
 ص ,49,0,0,0
 ,89,0,0,0
 ص ,25,0,0,0
 ومنها الجد والمواظبة على جهاد النفس والمخالفة,7,0,0,0
 ,66,0,0,0
 ,75,0,0,0
 ,50,0,0,0
 ومنها تنفيرهم أبناء الدنيا عن ارتضاعها والاستهانة بمؤثرها واتضاعها,9,0,0,0
 ,93,0,0,0
 ومنها أنهم الرعاة لكل حق والحماة لكل حد,8,0,0,0
 ,105,0,0,0
 ومنها تحسين المخالفة وتمهيد العذر للموافقة,6,0,0,0
 ,53,0,0,0
 ,72,0,0,0
 ومنها رعاية حقوق المجاورة وصيانة النفس عن المحاورة,8,0,0,0
 ,53,0,0,0
 ,74,0,0,0
 ومنها إيثار الفقراء والغرباء على النفس والأهل القرباء,8,0,0,0
 ,45,0,0,0
 ومنها اختيار البذل والإنفاق والسلو عن خوف العوز والإملاق,9,0,0,0
 ,100,0,0,0
 ومنها اغتنامهم خدمة الشيوخ والفقراء استنانا بسيد النبيين والسفراء,9,0,0,0
 ,131,0,0,0
 ص ,23,0,0,0
 ,40,0,0,0
 ومنها نصبهم الموائد لاغتنامهم الفوائد,5,0,0,0
 ,50,0,0,0
 ,53,0,0,0
 ومنها الرعاية للتزاور والتآخي طلبا للتحابب والتباهي,7,0,0,0
 ,99,0,0,0
 ,54,0,0,0
 ومنها المثابرة على مصاحبة الأولياء والمسارعة إلى مؤاكلة الأتقياء,9,0,0,0
 ,48,0,0,0
 ,48,0,0,0
 ومنها الاجتماع على الأكل والإطعام، والالتماس للبركة، والإكرام,8,0,0,0
 ,55,0,0,0
 ومنها رفضهم للتصنع والتكلف صيانة للتكرم والتعفف,7,0,0,0
 ,69,0,0,0
 ومنها عدولهم عن الترفه والتنعم احترازا من التولي والتصرم,9,0,0,0
 ,50,0,0,0
 ومنها أنهم هجروا المراقد واستوطنوا المساجد,6,0,0,0
 ,59,0,0,0
 ومنها توطين النفس على القناعة توقيا من الملامة والشفاعة,9,0,0,0
 ,68,0,0,0
 ومنها التحرز من مخالطة الأغنياء، والتشمير في ملاحقة الأصفياء,9,0,0,0
 ,51,0,0,0
 ,98,0,0,0
 ومن أصولهم التي عليها مباني أحوالهم الاستقامة في التوحيد مع الملازمة للتجريد,12,0,0,0
 ,53,0,0,0
 ومنها التأييد بالخصال التي ظفر بها العمال,7,0,0,0
 ,62,0,0,0
 ومنها التحقق بالإيمان الجامع والتمكن من العلم النافع,8,0,0,0
 ,62,0,0,0
 ومنها لوامع اليقين للمتحققين بدافع لدعاوي المدعين,7,0,0,0
 ,105,0,0,0
 ومنها القلب المعمر بالنور والمحبة سال عما يعقب المذبة والمسبة,10,0,0,0
 ,100,0,0,0
 ,82,0,0,0
 ومنها التقرب بالنوافل يوجب أشرف المنازل,6,0,0,0
 ,90,0,0,0
 ومنها إخفاء محن الأسرار من ذخائر الأبرار ,7,0,0,0
 ,48,0,0,0
 ,49,0,0,0
 ومنها القلب الفارغ التقي ترده المعارف الخفي,7,0,0,0
 ,47,0,0,0
 ومنها تقديم مقام العارفين على مقامات المزيدين,7,0,0,0
 ,133,0,0,0
 ,64,0,0,0
 والعارف مصون عن والتطيش مأمور بخلاف النفس والتفتش,8,0,0,0
 ,111,0,0,0
 ومن راعى من نفسه التحفظ والتحرس صح منه الاعتبار والتفرس,10,0,0,0
 ,37,0,0,0
 ,62,0,0,0
 ومنها إباحة التنسم بشجي الأغاني عند فتور النفس والتواني,9,0,0,0
 ,91,0,0,0
 ومما يستحب سماعه من الغنا ما يصفو من اللغو والخنا,10,0,0,0
 ,90,0,0,0
 ,77,0,0,0
 ,77,0,0,0
 ص ,21,0,0,0
 ,69,0,0,0
