begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
7	448	145	596	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0006	EShia0071536-ara1.completed.ms027	90	ان في ذلك لذكري لمن كان له قلب او القي السمع وهو شهيد فان ظن هذا القاءل ا--ن--- الله سبحانه اراد بذكره-ا الحكايات وال-اسمار فقد تمسك ---من ا---قوال ال	ان في ذلك لذكري لمن كان له قلب او القي السمع وهو شهيد وهذا الشخص الفاضل المنتقل الي رتبة العاشر لا يتهيا -لاحد من -المقامات -ما تهيا له من الانتقال ال	6	27	1911222264807974370	7872455759448268793	1503	1528	7831	7831	66	151	59.6026496887207	15	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
836	1170	1022	1443	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0007	EShia0071536-ara1.completed.ms147	111	-في-- التاريخ والله ا-علم ---ال---قول في -الزمان ا----لزم-ان عبا-رة عن ساعات الليل والنهار وقد -----ي-قا-ل- ل-ل-------------------------طو-يل-- -وا---ل--قصي-----ر -منه----ما والعرب تقول اتيتك --زم-ان ال-صرام- و-زم-ان --ا-لصرام -يعني --به وقت الصرا------م وكذلك اتيتك ازمان -ا	ابيكم ابراهيم واصل- الملة في اللغة المدة والزمان اشتق اسمها من الملوين وهما- الليل والنهار ومن ذلك قيل املي لفلان اي انه ترك زمانا ودهرا وقولهم ملاك الله اي ابقاك الله طويلا والعرب تقول اقمنا بالمكان مليا وملاوة ملوة ثلاث لغات بمعني واحد ومن ذلك اشتق اسم الملل ا-ي الاديان لا	7	147	5768702575517807675	-6890269187630775724	1833	1833	43851	43851	83	276	40.21739196777344	5	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
820	515	929	647	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0015	EShia0071536-ara1.completed.ms644	94	ه من ا-ل-ب------وار وملك-ه -من -الزوال- --فقال للملاءكة اني جاعل في الارض خليفة ---------قالوا اتجعل فيها من يفسد فيها ويسفك الدماء	ه ان اول بدء خلق البيت كان كما قال الله عز وجل للملاءكة اني جاعل في الارض خليفة يعني ادم قالوا اتجعل فيها من يفسد فيها ويسفك الدماء	15	644	3751797929546757429	-8905549169629429519	4221	4221	192928	192928	74	132	71.21212005615234	14	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
1125	646	1225	744	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0015	EShia0071536-ara1.completed.ms644	68	ونحن نسبح بحمدك ونقدس لك فقال الله لهم اني اعلم ما لا تعلمون يع--ني من-- انطواء ابليس عل--ي-- -الكبر والعزم	ونحن نسبح بحمدك ونقدس لك -قال ---------اني اعلم ما لا تعلمون فعلموا انهم قد وقعوا في- الخطيءة فطافوا بالعرش	15	644	3751797929546757429	-8905549169629429519	4221	4221	192920	192920	50	109	62.38532257080078	11	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
681	506	849	710	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0018	EShia0071536-ara1.completed.ms644	121	عباس وروي عن ا-ل-حسن -وقتا--دة -ان-هما قالا لما اعلم الله الملاءكة بخلق ادم --وا---ستخلافه --------وقالوا اتجعل فيها من يفسد فيها ويسفك الدماء و-----------------ق-------ال اني اعلم ما لا تعلمون قال-وا فيما بينهم	عليه واله ان اول بدء خلق البيت كان كما قال الله -ع-ز وجل- للملاءكة اني جاعل في الارض خليفة يعني ادم قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون فعلموا ---ا---نهم	18	644	-6504988899056972225	-8905549169629429519	5132	5132	192943	192943	92	213	56.80751037597656	13	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
828	261	1017	471	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0019	EShia0071536-ara1.completed.ms017	136	من نفسه -قال- --ل-ه يا ادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شءتما ولا تقربا هذه الشجرة فتكونا من الظالمين و----عن -مجا-هد وق-تادة مثله --فلما ا-سكن ال-له ا--دم و---زوجته الجنة اطلق لهما ان ياكلا كل ما- ا	من قوله تعالي وقلنا يا ادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شءتما ولا تقربا هذه الشجرة فتكونا من الظالمين والفرقة الثانية اقرت بالمبدع تعالي واطرحت العقل الاول والانبعاث الاول وظنت انها -واياهما في حال ا	19	17	-1607416729505526368	4992104611716673587	5439	5439	4838	4838	100	211	64.4549789428711	21	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
91	977	234	1127	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0027	EShia0071536-ara1.completed.ms454	133	-بني ادم فبعث الله غرابا يبحث في الارض ليريه كيف يواري سواة اخيه قال يا ويلتي اعجزت ان اكون مثل هذا الغراب فاواري سواة اخي ف----اصبح من -النادمين -ال	ابني ادم فبعث الله غرابا يبحث في الارض ليريه كيف يواري سواة اخيه قال يا ويلتي اعجزت ان اكون مثل هذا الغراب فاواري سواة اخي فجعل الله عز وجل الدفن وال	27	454	-6446716401065330539	-8628661469484254244	7819	7829	135931	135931	104	150	88.66666412353516	25	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
1501	782	1589	884	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0056	EShia0071536-ara1.completed.ms701	53	ا-ن وجوه-كم- تصبح ف-ي ا----لي-وم الاول مصفرة وتصبح في اليوم الثاني م--حمرة -وت-صبح -في اليوم الثالث م	اثم عليه ومن تاخر فلا اثم عليه وقال ومن تعجل النفر في اليوم الثاني من ايام التشريق وهو اليوم الثالث م	56	701	56885181387780975	-845975425985240180	16517	16517	210021	210021	38	102	51.960784912109375	7	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
507	741	664	924	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0069	EShia0071536-ara1.completed.ms160	133	اهيم ---بال--شعب وهو -----شعب ثب---ير قال- ل---ه يا بني اني اري في المنام اني اذبحك فانظر ما-ذا تري قا ليا ابت -فعل ما تءمر ستجدني ان شاء الله من الصابرين -ثم قال--- -له يا --ابت ان ا	اويل قول الله عز وجل حكاية عن ابراهيم قوله لابنه يا بني اني اري في المنام اني اذبحك فانظر ما ذا تري قال يا ابت افعل ما تءمر ستجدني ان شاء الله من الصابرين يعني الصبر علي ما يحمله من ا	69	160	2418742712020343919	8147186121375233730	20436	20436	47740	47740	99	183	72.67759704589844	21	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
109	194	236	335	-2118143715394797697	1684180232976004576	JK000911-ara1.mARkdown.ms0085	EShia0071536-ara1.completed.ms034	79	وكذلك يجتبيك ربك ويعلمك من تاويل الاحاديث وسمعت امر-اة يعقوب م-ا قال -يوسف لابي---ه -فقال لها ي----عقو--ب اكتمي ما قا-ل يوسف ول-ا تخبري اولا--د	وكذلك يجتبيك ربك ويعلمك من تاويل الاحاديث فام-ا جحر الضب وخشرم الدبر فليس مما يدخله الناس ولا يصح القول بذلك في -الظاهر وقول الله تعالي -ولا يد	85	34	-6888030660237085625	5833700507544049954	25218	25224	9927	9927	61	144	54.86111068725586	8	JK000911-ara1.mARkdown	EShia0071536-ara1.completed
