begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
4	694	88	775	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0095	Shamela0005880-ara1.completed.ms089	52	لا تثريب عليكم اليوم اي لا اذكر لكم ذنبكم يغفر الله لكم -ثم ----سال--هم-- -----عن- اب---يه -فقالوا لما	لا تثريب عليكم الي---------------------وم يغفر الله لكم وهو ارحم الراحمين قال وغني ابراهيم يوما وا-لما	95	89	2383948564422672797	3613094909534386881	28202	28216	26415	26415	40	103	50.485435485839844	8	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
1437	642	1497	706	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0338	Shamela0005880-ara1.completed.ms139	50	ال--- اذا لم تكن ابل فمعزي كان قرون جلتها العصي الابيات ثم رحل-	القيس اذا لم تكن ابل فمعزي كان قرون جلتها العصي قد امرت لك بالف	338	139	218739123481301532	-2831737259170278456	101113	101113	41414	41414	37	64	78.125	9	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
384	374	688	663	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0437	Shamela0005880-ara1.completed.ms118	211	ب-عضكم --عجل--ا-- -عليه- وما- اثر -اللسان الي ال--جروح ابت لي عزتي وابي بلاءي واخذي الحمد بالثمن الربيح واعطاءي علي المكروه مالي وضربي هامة البطل المشيخ وقولي كلما جشات وجاشت مكانك تحمدي او تستريحي لادفع عن ماثر صالحات واحمي بعد عن عرض صحيح بذي شطب كلون الملح صاف ونفس- لا تقر علي القبيح فقال الر-ب-------يع--- بن --ابي ال-حقي---ق الي	بتقديم نفس لا احب بقاءها وقال اخر قول عمرو بن الاطنابة ابت لي عفتي وابي بلاءي واخذي الحمد بالثمن الربيح وانفاقي علي المكروه مالي وضربي هامة الرجل المشيح وقولي كلما جشات وجاشت مكانك تحمدي او تستريحي لا----كسبها-- ---ما---------------ثر- ص-----------------ال--ح--ات ونفسا لا تقر علي القبيح وقال اخر بل قول العباس بن مرداس السلمي اشد علي	437	118	-5746368040239371052	2735987473041020648	130858	130858	35154	35154	165	335	62.98507308959961	27	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
223	1431	345	1570	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0486	Shamela0005880-ara1.completed.ms029	78	ل عل-يه واشهد ان لا اله الا الله وحده لا شريك لن ثم قال---- -ان ال----ر-اءد لا- يكذب اهله والله الذي -ل-ا ال-ه -الا ---هو اني رسول الله اليكم	ل المرتد اشهد ان لا اله الا الله وحده لا شريك له وان المسيح عبد الله ورسوله وان محمدا صلي -الله صل-ي الله عليه وسلم عليه صادق وانك امير المءم	486	29	-6378216794576881751	2706280143742418119	145528	145528	8429	8429	54	141	55.319149017333984	9	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
1140	705	1266	834	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0541	Shamela0005880-ara1.completed.ms014	73	ا عل---يه ماله كله حتي الشظاظ --ثم عا-د ا-لي مكة -فرد --علي الناس مالهم وقال لهم اشهد ان لا اله الا الله واشهد ان محمدا رسول الله ---والله	اجعلا بينكما- اصلا فان الكلام فروع فاذا افتر عتم شيءا رجعتم ال-ي الاصول -قال -فانا- نقول لا اله الا الله و-----ان محمدا رسول الله صلي الله	541	14	4999619694796524538	8588250625697370294	162028	162028	3926	3926	52	139	52.51798629760742	9	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
16	1282	93	1372	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0605	Shamela0005880-ara1.completed.ms155	55	-ال-له لثابت --ب-ن قيس -ا-ج--ب الرجل فق----ام ثابت فقال الحمد لله الذي -له السموات والارض	جعلناه قرانا عربيا فكل ما جعله ال-له فقد خلقه الله وقال الحمد لله الذي خلق السموات والارض	605	155	-2096590743793835785	-8221853740068609087	181203	181216	46218	46218	39	91	60.43955993652344	6	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
934	698	1120	920	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0661	Shamela0005880-ara1.completed.ms014	100	ا نعم قا--ل- ----ما فعل--وا قال-وا ماتوا قا-ل -فان محمدا قد -مات- كما -ماتوا وانا ا-شهد ان لا اله الا الله وان محمدا رسول الله ---فاسل---موا و-ثبتوا- علي اسلامهم و-حضر اصحاب ال----م---ن-ذر-- بعده حتي -استنقذهم العلاء ب--ن ال	ا يجب فاجعلا بينكما اصلا فان الكلام فروع فاذا افتر عتم شيءا رجعتم الي الاصول قال فانا نقول لا اله الا الله وان محمدا رسول الله صلي الله عليه وسلم واذكروا الفراءض والشراءع في الاسلام وتناظروا بعد- ذلك فاعاد محمد لعل-ي بمثل ال	661	14	-8071802219723142163	8588250625697370294	198037	198037	3942	3942	71	224	44.64285659790039	10	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
488	695	605	831	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0734	Shamela0005880-ara1.completed.ms014	71	ب-ه احد -ا--لا عز فقا---ل- -له رستم ما هو- قا-ل ا-ما ع-موده الذي لا يصلح الا--- -به فشهادة ان لا اله الا الله وان محمدا رسول الله ---وال	بما يجب فاجعلا بينكما اصلا فان الكلام فروع فاذا افتر عتم شيءا رجعتم -الي الاصول قال فانا نقول لا اله الا الله وان محمدا رسول الله صلي ال	734	14	6802376322819486503	8588250625697370294	219928	219928	3928	3928	49	137	51.8248176574707	9	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
814	85	916	202	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms0916	Shamela0005880-ara1.completed.ms057	64	ذ-- خليفة سعيد فصعد المنبر فحمد الله واثني عليه وام-رهم --با-لاجتماع ---والطاعة ----فقال له ال-قعقاع -ا-ت-رد السيل عن ا	ذلك اليوم فانه -صعد المنبر فحمد الله واثني عليه ولم يدع للمامون وكان علي البريد رجل يقال له كلثوم بن ثابت بن ا-بي سعد ا	916	57	1498683660097680745	535045464353545873	274518	274518	16816	16824	47	119	53.78151321411133	7	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
0	498	142	649	-2118143715394797697	3183935722805360797	JK000911-ara1.mARkdown.ms1034	Shamela0005880-ara1.completed.ms118	91	مالي واخذي الحمد بالثمن الربيح وقولي كلما جشات وجاشت مكانك تحمدي او تستريحي قال فمنعني هذا القول من الفرار ونظر الي --عمرو وقال ا----ل-يوم --صب-ر ---وغدا-	مالي وضربي -هامة -الرجل المشيح وقولي كلما جشات وجاشت مكانك تحمدي او تستريحي لا-كسبها ماثر صالحات ونفسا لا- -تقر علي القبيح وقال اخر بل قول العباس بن مرداس	1034	118	-6786472090543911969	2735987473041020648	309900	309925	35129	35129	68	156	58.33333206176758	11	JK000911-ara1.mARkdown	Shamela0005880-ara1.completed
