bid,firstMs,lastMs
Shia001131Vols,115,147
EShia0071536,105,282
GVDB20200120,30,30
GVDB20200120,31,33
GVDB20200120,52,52
GVDB20200120,72,72
GVDB20200120,75,75
GVDB20200120,89,90
GVDB20200120,115,115
GVDB20200120,154,154
GVDB20200120,183,183
LMN20200820,183,183
LMN20200820,10,13
LMN20200820,36,37
LMN20200820,53,53
LMN20200820,57,57
JK001259,1,36
Shamela0002864,2,5
Shamela0002864,7,7
Shamela0002864,21,21
Shamela0002864,127,127
Shamela0002864,149,149
Shamela0002864,300,300
Shamela0002864,370,370
Shamela0002864,389,389
Shamela0002864,443,443
Shamela0002864,1513,1513
Shamela0002864,445,445
Shamela0002864,478,478
Shamela0002864,547,547
Shamela0002864,531,531
Shamela0002864,573,573
Shamela0002864,580,582
Shamela0002864,591,591
Shamela0002864,619,620
Shamela0002864,649,649
Shamela0002864,1536,1536
Shamela0002864,659,660
JK000911,659,660
JK000911,3396,3401
JK000911,3285,3332
JK000911,4021,4437
JK001330,926,951
JK001330,1180,1333
Shamela0011680,1,36
Shamela0011680,50,53
Shamela0011680,81,93
Shamela0011780,1,36
Shamela0011780,112,137
Shamela0011780,208,221
Shamela0011780,256,256
Shamela19Y0145334,1297,1323
Shamela19Y0145334,1386,1389
Shamela19Y0145334,1089,1094
Shamela19Y0145334,1109,1125
Shamela19Y0145334,1244,1247
Shamela0000176,307,388
Shamela0000176,114,114
Shamela0000176,59,96
Shamela0000176,151,156
Shamela0009783,4114,4184
Shamela0009783BK1,4114,4184
Shamela0005880,4114,4184
Shamela0005880,14,14
Shamela0005880,16,25
Shamela0005880,62,63
Shamela0005880,64,64
Shamela0005880,67,67
Shamela0005880,68,68
Shamela0005880,69,70
Shamela0005880,71,71
Shamela0005880,76,76
Shamela0005880,84,84
Shamela0005880,88,88
Shamela0005880,97,100
Shamela0005880,113,113
Shamela0005880,124,124
Shamela0005880,126,126
Shamela0005880,128,131
Shamela0005880,133,133
Shamela0005880,136,136
Shamela0005880,137,138
Shamela0005880,140,141
Shamela0005880,144,144
Shamela0005880,145,146
Shamela0005880,155,157
Shamela0005880,159,159
