id,series1,series2,text1,text2
0,EShia0071536,Shia001131Vols,عن رسول الله صلى الله عليه وسلم أنه قال ليأخذ أحدكم من شعر\n~~صدغيه ومن عارضى لحيته ورجلوا اللحى واحلقوا شعر القفا واحفوا ms150 الشوارب\n~~واعفوا البال وقلموا الأظفار ولا تشبهوا بأهل الكتاب ولا يطيلن أحدكم شاربه\n~~ولا عانته ولا شعر جناحيه فإن الشيطان يتخذها مجاثم[1] يستتر بها ومن كان\n~~يؤمن بالله واليوم الآخر فلا يترك عانته فوق أربعين يوما.\n# وعن على صلى الله عليه وسلم أنه قال خذوا من شعر الصدغين ومن عارضى\n~~اللحية وما جاور العنفقة من مقدمها.\n# وعن أبى جعفر محمد بن على صلى الله عليه وسلم أنه قال أحفوا الشوارب فإن\n~~بنى أمية لا تحفى ,عن رسول الله (صلع) أنه قال: ليأخذ أحدكم من شعر صدغيه (3) ومن\n~~عارضي لحيته ورجلوا اللحى واحلقوا شعر القفا وأحفوا الشوارب وأعفوا السبال\n~~وقلموا الأظفار، ولا تتشبهوا بأهل الكتاب، ولا يطيلن أحدكم شاربه، ولا\n~~عانته ولا شعر جناحيه، فإن الشيطان (4) يتخذها مجاثم (6) يستتر بها، ومن\n~~كان يؤمن بالله واليوم الآخر، فلا يترك عانته فوق أربعين يوما، وعن علي\n~~صلوات الله عليه أنه قال: خذوا من شعر الصدغين ومن عارضي اللحية وما جاوز\n~~العنفقة (6) من مقدمها، وعن أبي جعفر محمد بن علي (ع) أنه قال: أحفوا\n~~الشوارب فإن أمية لا تحفى 
1,EShia0071536,Shia001131Vols,عليه أنه كان إذا\n~~برز للسفر قال:\n# «أشهد ألا إله ms732 إلا الله وأشهد أن محمدا عبده ورسوله الحمد لله الذي هدانا\n~~للإسلام وجعلنا من خير أمة أخرجت للناس سبحان الذي سخر لنا هذا وما كنا له\n~~مقرنين، اللهم إنى أعوذ بك من وعثاء السفر وكآبة المنقلب، وسوء المنظر فى\n~~الأهل والمال والولد، اللهم أنت الصاحب فى السفر والخليفة فى الأهل\n~~والمستعان على الأمر، اللهم أطولنا البعيد، وسهل لنا الحزونة واكفنا المهم\n~~إنك على كل شيء ,علي (ع) أنه كان إذا برز للسفر قال: أشهد أن لا إله إلا الله وحده\n~~وأشهد أن محمدا عبده ورسوله، الحمد لله الذي هدانا للاسلام، وجعلنا من خير\n~~أمة أخرجت للناس، سبحان الذي سخر لنا هذا وما كنا له مقرنين (3) اللهم إني\n~~أعوذ بك من وعثاء (4) السفر، وكآبة المنقلب، وسوء المنظر في الأهل والمال\n~~والولد، اللهم أنت الصاحب في السفر، والخليفة في الأهل، والمستعان على\n~~الامر، اطو لنا البعيد، وسهل لنا الحزونة، واكفنا المهم، إنك على كل شئ\n~~
2,EShia0071536,Shia001131Vols,عن رسول الله (ص) أنه نهى أن يحمل الدواب فوق أحمالها وأن\n~~تضيع حتى تهلك وقال لا تتخذوا ظهور الدواب كراسى، فرب دابة مركوبة خير من\n~~راكبها وأطوع لله وأكثر ذكرا، ونظر إلى ناقة محملة، قد أثقلت فقال: أين\n~~صاحبها فلم يوجد فقال مروه أن يستعد لها غدا للخصومة، وقال (ص) يجب للدابة\n~~على صاحبها ست خصال يبدأ بعلفها إذا نزل، ويعرض عليها الماء إذا مر به، ولا\n~~يضربها إلا بحق، ولا يحملها ما لا تطيق ولا يكلفها من السير ما لا يقدر\n~~عليه، ولا يقف عليها فواقا، وسئل جعفر بن محمد صلوات الله عليه عن سمة\n~~الدواب بالنار فقال: لا بأس بذلك لتعرف، ونهى أن توسم فى وجوهها، وعن رسول\n~~الله (ص) أنه سمع رجلا يلعن بعيرا فقال: «ارجع لا تصحبنا على بعير ,أن رسول الله (صلع) نهى أن تحمل الدواب فوق طاقتها،\n~~وأن تضيع حتى تهلك. وقال: لا تتخذوا ظهور الدواب كراسي، فرب دابة مركوبة\n~~خير من راكبها، وأطوع لله منه، وأكثر ذكرا. ونظر (صلع) إلى ناقة محملة قد\n~~أثقلت، فقال: أين صاحبها فلم يوجد؟ فقال: مروه أن يستعد لها غدا للخصومة.\n# وعن علي صلوات الله عليه أن رسول الله (صلع) قال: يجب للدابة على صاحبها\n~~ست خصال، يبدأ بعلفها إذا نزل، ويعرض عليها الماء إذا مر به، ولا يضربها\n~~إلا على حق، ولا يحملها ما لا تطيق عليه، ولا يكلفها من السير ما لا تقدر\n~~عليه، ولا يقف عليها فواقا (5).\n# وعن جعفر بن محمد (صلع) أنه سئل عن سمة الدواب بالنار فقال: لا بأس بذلك\n~~لتعرف، ونهى أن توسم في وجوهها.\n# وعنه عن رسول الله (صلع) أنه سمع رجلا يلعن بعيره فقال: ارجع، ولا تصحبنا\n~~على بعير 
3,EShia0071536,Shia001131Vols,أبى جعفر محمد بن على صلى الله عليه وسلم أنه سئل عن\n~~الصلاة عند شدة الخوف والجلاد ms380 حيث لا يمكن الركوع والسجود فقال يومئون\n~~إيماء على دوابهم ووقوفا على أقدامهم وتلا قول الله عز وجل:@QUR05 «فإن\n~~خفتم فرجالا أو ركبانا» فإن لم يقدروا على الإيماء كبروا مكان كل ركعة\n~~,أبي جعفر محمد بن علي صلوات الله عليه أنه سئل عن الصلاة عند شدة\n~~الخوف والجلاد حيث لا يمكن الركوع والسجود، فقال: يومئون إيماء على دوابهم\n~~ووقوفا على أقدامهم، وتلا قول الله عز وجل: (5) فإن خفتم فرجالا أو ركبانا،\n~~فإن لم ms181 يقدروا على الايماء كبروا مكان كل ركعة 
4,EShia0071536,Shia001131Vols,الصلاة اللهم رب الدعوة التامة والصلاة القائمة أعط محمدا رسوله يوم\n~~القيامة وبلغه الدرجة الوسيلة وتقبل شفاعته فى أمته، تأويل ذلك ما قد تقدم\n~~القول به من أن الصلاة ظاهر الدعوة والدعوة باطن الصلاة فلذلك قال رب\n~~الدعوة التامة يعنى الدعوة إليه وإلى وصيه وذلك تمام دعوته والصلاة القائمة\n~~يعنى ظاهرا وباطنا.\n# ويتلو ذلك قول على صلى الله عليه وسلم ثلاث لا يدعهن إلا عاجز، رجل سمع\n~~مؤذنا لا يقول كما قال ورجل لقى جنازة لا يسلم على أهلها ولا يأخذ بجوانب\n~~السرير، ورجل أدرك الإمام ساجدا لم يكبر ويسجد معه ولا يعتد بها، تأويل ذلك\n~~ما قد ذكرناه مما فى الأذان من توحيد الله والإقرار بالعبودية والفردانية\n~~فمن سمع ذلك ينبغى له أن يقول مثله فيكون مثابا مأجورا ولا يعرض عنه فيكون\n~~عنه معرضا وبه متهاونا وسنذكر معنى حمل الجنائز وفوات بعض الصلاة فى موضعه\n~~إن شاء الله تعالى.\n# ويتلو ذلك قول الصادق صلى الله عليه وسلم إنه قال إذا قال المؤذن الله\n~~أكبر فقل الله أكبر فإذا قال أشهد ألا إله إلا الله فقل أشهد ألا إله إلا\n~~الله فإذا قال أشهد أن محمدا رسول الله فقل أشهد أن محمدا رسول الله فإذا\n~~قال قد قامت الصلاة فقل اللهم أقمها وأدمها واجعلنا من خير صالحى أهلها\n,قال:\n# اللهم رب الدعوة التامة والصلاة القائمة، أعط محمدا سؤله يوم القيامة،\n~~وبلغه الدرجة الوسيلة من الجنة، وتقبل شفاعته في أمته.\n# وعن علي صلوات الله عليه أنه قال: ثلث لا يدعهن إلا عاجز، رجل سمع مؤذنا\n~~لا يقول كما يقول، ورجل لقى جنازة لا يسلم على أهلها ويأخذ بجوانب السرير،\n~~ورجل أدرك الامام ساجدا لم يكبر ويسجد معه ولا يعتدها.\n# وعن أبي عبد الله جعفر بن محمد صلوات الله عليه أنه قال: إذا قال المؤذن\n~~الله أكبر فقل: الله أكبر، وإذا قال: أشهد أن لا إله إلا الله، فقل: أشهد\n~~أن لا إله إلا الله، وإذا قال: أشهد أن محمدا رسول الله، فقل: أشهد أن\n~~محمدا رسول الله، فإذا قال: قد قامت الصلاة، فقل: اللهم أقمها وأدمها\n~~واجعلني من خير صالحي أهلها 
5,EShia0071536,Shia001131Vols,فأطعم ستين\n~~مسكينا، قال والله ما أجد ما أطعمهم، فأمر له رسول الله صلى الله عليه وآله\n~~بخمسة عشر صاعا قال فاذهب فأطعم ستين مسكينا لكل مسكين مد، قال يا رسول\n~~الله والذي بعثك بالحق نبيا ما ms531 بين لابتيها من بيت أحوج إليه منى ومن أهلى،\n~~قال فانطلق فكله أنت وأهلك» فهذا هو الواجب فى الظاهر أن من وطئ فى نهار\n~~شهر رمضان أو أفطر متعمدا فعليه الكفارة: عتق رقبة، فإن لم ,فأطعم ستين مسكينا، قال: والله ما أقوى عليه، فأمر له رسول\n~~الله (صلع) بخمسة عشر صاعا من تمر، وقال: اذهب فأطعم ستين مسكينا لكل مسكين\n~~مدا (1)، قال: يا رسول الله، والذي بعثك بالحق نبيا ما بين لابتيها من بيت\n~~أحوج منا، قال: فانطلق فكله أنت وأهلك.\n# وعن جعفر بن محمد (صلع) أنه قال: من أفطر في شهر رمضان متعمدا نهارا، فإن\n~~استطاع أن يعتق رقبة أعتقها، فإن لم 
6,EShia0071536,Shia001131Vols,الرجفة والزلزلة\n~~والريح العظيمة والظلمة والآية تحدث وما كان من مثل ذلك كما يصلى فى صلاة\n~~كسوف الشمس والقمر سواء، تأويل ذلك أنه ما حدث فى المؤمنين من أمر يقلقهم\n~~أو يخافون منه على أنفسهم من أى وجه كان فالواجب عليهم الإقبال على الله\n~~بالدعاء والتضرع والمسألة، ولزوم حدود الدعوة إذا امتحنوا بذلك كما يجب ذلك\n~~عليهم إذا امتحنوا باستتار إمامهم أو حجة زمانهم.\n# ويتلوه ما جاء عنه صلى الله عليه وسلم أنه سئل عن الكسوف يكون والرجل\n~~نائم ولم يدر به أو اشتغل عن الصلاة فى وقته هل عليه أن يقضيها قال لا قضاء\n~~فى ذلك وإنما الصلاة فى وقته فإذا انجلى لم يكن له ,الرجفة والزلزلة والريح العظيمة والظلمة\n~~والآية تحدث، وما كان من مثل ذلك (2) كما يصلى في صلاة كسوف الشمس والقمر\n~~سواء (3).\n# وعنه صلوات الله عليه أنه سئل عن الكسوف يكون والرجل نائم أو لم يدر به،\n~~أو اشتغل عن الصلاة في وقته، هل عليه أن يقضيها، قال: لا قضاء في ذلك،\n~~وإنما الصلاة في وقته فإذا انجلى لم تكن له 
7,EShia0071536,Shia001131Vols,والمكاتب هو العبد الذي يكاتب مولاه على مال يجعله على نفسه نجوما، فإن أدى\n~~ذلك على ما شرطه على نفسه عتق فإن لم يؤد كان عبدا كما كان فهذا إذا كان\n~~كذلك هو عبد ما بقى عليه شيء من كتابته وهو لا يملك شيئا ماله لمولاه إلا\n~~أن المكاتب إذا هو أدى ما كاتبه عليه مولاه فماله له وليس للمولى فيه شيء\n~~إذا هو أدى إليه ما كاتبه عليه، ويزول عنه إذا أدى ذلك اسم المكاتب ويصير\n~~,والمكاتب هو العبد الذي يكاتب\n~~مولاه على مال يجعله على نفسه نجوما فإن أدى ذلك. D gl (4) على ما شرطه على\n~~نفسه عتق وإن عجز كان عبدا مملوكا كما كان، فهذا إذا كان كذلك فهو عبد ما\n~~بقي عليه شئ من كتابته، فالعبد لا يملك شيئا وماله لمولاه إلا أن المكاتب\n~~إذا أدى ms684 ما (هو) كاتبه عليه مولاه فماله له وليس للمولى فيه شئ إذا هو أدى\n~~إليه ما كاتبه عليه ويزول عنه إذا هو أدى ذلك اسم المكاتبة ويصير 
8,EShia0071536,Shia001131Vols,عن على صلوات الله عليه أنه قال: إن الله عز وجل فرض\n~~على أغنياء الناس فى أموالهم لفقرائهم قدر ما يسعهم، فإن ضاع الفقراء أو\n~~أجهدوا أو أعروا فبما منع الأغنياء وأن الله محاسبهم على ذلك يوم القيامة\n~~ومعذبهم عذابا أليما.\n# وعن جعفر بن محمد صلوات الله عليه أنه قال: إن الله فرض للفقراء فى أموال\n~~الأغنياء ما يكتفون به، فلو علم أن الذي فرض لهم لا يكفيهم لزادهم، وإنما\n~~يؤتى الفقراء فيما أوتوا من الجهد والفاقة من منع من يمنعهم حقوقهم لا من\n~~الفريضة لهم ,عن علي صلوات الله عليه أنه قال: إن الله فرض على\n~~أغنياء الناس في أموالهم قدر الذي (2) يسع فقراءهم، فإن ضاع الفقراء أو\n~~أجهدوا أو أعروا فبما يمنع أغنياؤهم، فإن الله محاسبهم بذلك يوم القيامة\n~~ومعذبهم به عذابا أليما.\n# وعن أبي عبد الله جعفر بن محمد صلوات الله عليه أنه قال: إن الله فرض\n~~للفقراء في أموال الأغنياء ما يكتفون به، فلو علم أن الذي فرض لهم لا\n~~يكفيهم لزادهم، وإنما يؤتى الفقراء فيما أوتوا من منع من يمنعهم حقوقهم لا\n~~من الفريضة لهم.\n# 
9,EShia0071536,Shia001131Vols,أنه قال من تمتع\n~~بالعمرة إلى الحج فعليه ما استيسر من الهدى كما قال عز وجل شاة فما\n~~فوقها:@QUR08 «فمن لم يجد فصيام ثلاثة أيام في الحج» يوم قبل التروية ويوم\n~~التروية ويوم عرفة وسبعة أيام إذا رجع إلى أهله، وله أن يصومها فى الحج،\n~~وإن شاء قدمها فى أول العشر فإن لم يصم فى الحج فليصم فى الطريق، فإن لم\n~~يصم وجهل ذلك فليصم عشرة أيام إذا رجع إلى أهله وقال ومن لم يجد، ثمن الشاة\n~~فله أن يصوم، ومن وجد الثمن ولم يجد الغنم أو لم يجد الثمن حتى يكون أخر\n~~النفر فليس عليه إلا الصوم قال: وإن مات قبل أن يصوم صام عنه وليه إن شاء،\n~~ويصل المتمتع صومه وإن فرقه لعلة أو لغير علة أجزأه ذلك إذا أتى بالعدة على\n~~ما قال الله عز وجل، وقال:\n# ومن تمتع بصبى فعليه أن يذبح ,أنه قال: من تمتع بالعمرة إلى الحج فعليه ما استيسر (3) من\n~~الهدى كما قال الله (تعالى)، شاة فما فوقها، فمن لم يجد فصيام ثلاثة أيام\n~~في الحج: يوما قبل التروية ويوم التروية ويوم عرفة، وسبعة أيام إذا رجع إلى\n~~أهله. وله أن يصوم متى شاء إذا دخل في الحج وإن قدمها في أول العشر فحسن.\n~~وإن لم يصم في الحج فليصم في الطريق، فإن لم يصم وجهل (4) فليصم عشرة أيام\n~~إذا رجع إلى أهله.\n# وعنه (ع) أنه قال: من لم يجد ثمن شاة فله أن يصوم، ومن وجد الثمن ولم يجد\n~~الغنم أو لم يجد الثمن حتى كان (5) آخر النفر فليس عليه إلا الصوم.\n# وعنه (ع) أنه قال في ms274 المتمتع لا يجد هديا أو يموت قبل أن يجد هديا أو\n~~يموت قبل ان يصوم. قال: يصوم عنه وليه (6).\n# وعنه (ع) أنه قال: يصل المتمتع صومه، وإن فرقه لعلة أو لغير علة أجزأه،\n~~إذا أتى بالعدة على ما قال الله عز وجل.\n# وعنه (ع) أنه قال: من تمتع بصبي (7) فعليه أن يذبح 
