begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
1258	1577	1318	1658	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms006	JK000911-ara1.mARkdown.ms3512	49	المعز ذکر وصول السلطان الي ---ا----------ل-------شام لم-ا- وصل السلطان الي الشام	ال-له ذكر وصول السلطان الي بغداد في هذه السنة في شهر رمضان وصل السلطان الي بغداد	6	3512	-4657981754216855542	-767159517127612403	1512	1512	1053317	1053317	37	82	59.75609588623047	7	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
401	752	505	846	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms021	JK000911-ara1.mARkdown.ms3575	52	-سن-ة الف وخمسماءة دينار المنفق في ايامه علي الثواني والحراريق والطراءد و-السلالير وغيرها ماءة الف دينار ل	دينار الي -خمسماءة دينار --ون-هبوا -داره --وصا-دوا-- -جماعة من -ا-صحابه وصودر رءيس همذان بماءة الف دينار ل	21	3575	466690496197739139	1645927956471690128	6017	6017	1072217	1072217	38	107	48.59812927246094	6	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
721	1131	815	1249	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms030	JK000911-ara1.mARkdown.ms1101	61	صل--ي -ال--له- عل--يه و-س--لم وعلي الامر بالمعروف والنهي عن المنكر والجهاد --ف---ي --سبيل -الله و-اخذ اموال- --ا-لله	الامر والتعاهد للقران وحسن الجوار والامر بالمعروف والنهي عن المنكر واجتناب الفواحش ثم كتب وصيته ولم ينطق الا بلا اله	30	1101	-1698775605649024276	-6457715069535331945	8718	8718	330021	330021	46	118	51.694915771484375	6	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
741	1272	796	1330	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms030	JK000911-ara1.mARkdown.ms2192	44	و-علي الامر بالمعروف والنهي عن المنكر والجهاد -في- سبيل ا-ل	و الي الامر بالمعروف والنهي عن المنكر فا-جتمع اليه عامة اهل	30	2192	-1698775605649024276	-4670976744519573506	8709	8709	657310	657310	35	59	74.5762710571289	5	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
740	1110	779	1151	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms030	JK000911-ara1.mARkdown.ms2297	36	و-علي -الامر بالمعروف والنهي عن المنكر و	وامره بالامر بالمعروف والنهي عن المنكر و	30	2297	-1698775605649024276	-3574401522138855510	8707	8707	688807	688807	29	41	87.80487823486328	6	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
701	1324	833	1493	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms030	JK000911-ara1.mARkdown.ms2310	83	ال--له وسنة رسول ----ال-----له-- --صلي ال-له عليه وسلم و--علي الامر بالمعروف والنهي عن المنكر و----ا-لجها--د في سب-يل ال-له واخذ -ا-موا--ل الله بحقها و-صرفها في-- ---م-س	الشداخ واخر يقال له طالب وغيرهما ودعوا الناس اليه فبايعوه علي الامر بالمعروف والنهي عن المنكر وفرق ابو هارون وطالب في الناس مالا فاعطيا كل رجل- دينار واتعدوا ليلة الخميس	30	2310	-1698775605649024276	4733319965214810174	8725	8725	692730	692730	60	170	48.82352828979492	6	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
743	7	795	68	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms030	JK000911-ara1.mARkdown.ms3742	44	لي -الامر بالمعروف والنهي عن المنكر وا--لجهاد ف-ي --سبي--ل -ا	لا بالامر بالمعروف والنهي عن المنكر واخراج المفسد من بينكم فا	30	3742	-1698775605649024276	-2904973895988719808	8709	8709	1122301	1122310	36	61	72.13114929199219	4	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
401	149	506	271	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms031	JK000911-ara1.mARkdown.ms0486	68	في الروض ال-انف -والطافه -التي وق-ف الشكر عليها فليس له ع-نه--ا منصرف ------------واشهد ان لا اله الا الله وحده لا شريك له	في ذل--ك المجلس ثم دعاهم ثانية وقال الحمد لله احمده واستعينه واءمن به واتوكل عليه واشهد ان لا اله الا الله وحده لا شريك لن	31	486	1748583707125249957	-6378216794576881751	9023	9023	145526	145526	49	124	54.83871078491211	10	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
384	1112	595	1280	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms031	JK000911-ara1.mARkdown.ms0541	83	رتعت الاعين من--ها في- الروض الانف وال-طافه التي وقف الشكر ع----لي--ها فليس له -عنها منصرف و--------اشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا -----عبده -الذي -----جبر من ال	رسول الله بل نرده عليه فردوا عل-يه ماله كله -حتي الشظاظ ثم عاد الي مكة فرد علي الناس مالهم وقال لهم اشهد ان لا ال---------ه ------ا------------------------ل--ا-- ا--------ل-----ل---ه ------------واشهد ان محمدا رسول الله والله ما منعني من ال	31	541	1748583707125249957	4999619694796524538	9044	9044	162037	162037	58	241	34.43983459472656	8	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
416	1362	595	1490	-8513222754224368155	-2118143715394797697	GVDB20200120-ara1.completed.ms031	JK000911-ara1.mARkdown.ms1608	67	-والطافه التي -وقف ال--شكر -عليها فليس له --عنها- من--صر-ف ----واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا عبده الذي جبر--- -م-ن ال	او ثلاثا فلما كانت الثالثة قال من الان يا رجاء ان كنت تريد شيءا اشهد ان لا ال---------ه ------ا------------------------ل--ا-- ا--------ل-----ل---ه ------------واشهد ان محمدا رسول الله فحرفته فمات فل	31	1608	1748583707125249957	5721067152328067224	9038	9038	482128	482128	44	199	33.66834259033203	6	GVDB20200120-ara1.completed	JK000911-ara1.mARkdown
