begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
990	1032	1103	1169	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0001	Shamela0000176-ara1.completed.ms001	80	مال--نا- -من يهده ا-لله -فلا -مضل --ل--ه ومن- يضلل فلا هادي له واشهد ان لا اله الا الله وحده لا شريك له و-ا-شه-د --ا-----ن --محمدا -عبده و	م للحساب بين يديه احمده حمدا يليق بجلاله وينبغي لعظمته -وكماله واشهد ان لا اله الا الله وحده لا شريك له ولا ظهير ولا معاون له فيما يريده و	1	1	-4047927848413200647	-619729244154946691	26	26	28	28	57	138	57.97101593017578	12	Shamela0002864-ara1	Shamela0000176-ara1.completed
1026	272	1191	459	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0001	Shamela0000176-ara1.completed.ms066	103	لل- فلا ه-ا---دي--- --له واشهد ان لا اله -الا الله و-----حده -لا شريك -له واشهد ا--ن محمدا عبده ورسوله ارسله بالهدي ودين الحق ليظهره علي الدين كله و---كفي بالله شهيدا صلي الله عل--ي-ه و---علي- ال	لله ضرب هذا الدينار بمصر سنة ثمان وخمسين وثلاثماءة وفي الوجه الاخر لا اله -ا-لا الله محمد- رسول --الله ارسله بالهدي ودين الحق ليظهره علي الدين كله ولو كره -ال--مشركون علي افضل الوصيين وزير خير ال	1	66	-4047927848413200647	-3702639013723717264	34	34	19535	19535	74	195	52.82051467895508	10	Shamela0002864-ara1	Shamela0000176-ara1.completed
1436	1182	1597	1371	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0001	Shamela0000176-ara1.completed.ms090	118	-بحبل -الله --جم---ي--عا و-لا تفرقوا واذكروا نعمت الله عليكم اذ كنتم اعداء فالف بين قلوبكم فاصبحتم بنعمته اخوانا ------وكنتم -ع-لي شفا حفرة من ---النار- فانقذكم- منها ---كذل---ك يبين الله -ل	صاحبه واخاه في ملك يملكه وتلا -عليهم واذكروا نعمة الله عليكم اذ كنتم اعداء فالف بين قلوبكم فاصبحتم بنعمته اخوانا الاية وقوله تعالي لو انفقت ما في ال-ارض جميعا ما الفت بين قلوبهم ولكن الله ال	1	90	-4047927848413200647	-5791069097391263160	30	30	26736	26736	89	191	61.78010559082031	14	Shamela0002864-ara1	Shamela0000176-ara1.completed
1061	816	1214	956	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0013	Shamela0000176-ara1.completed.ms119	136	ل-مه- رابعهم ولا خمسة الا هو سادسهم ولا ادني من ذلك ولا اكثر الا هو معهم يعني بعلمه فيهم اين ما كانوا ثم ينبءهم بما عملوا يوم القيامة ان الله بكل شء عليم -ا	لا هو رابعهم ولا خمسة الا هو سادسهم ولا ادني من ذلك ولا اكثر الا هو مع----------------هم اين ما كانوا ثم ينبءهم بما عملوا يوم القيامة ان الله بكل شء عليم فا	13	119	7967847347735587575	-3014760032708816634	3633	3633	35431	35431	106	156	87.17948913574219	28	Shamela0002864-ara1	Shamela0000176-ara1.completed
429	1392	552	1527	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0040	Shamela0000176-ara1.completed.ms010	74	ا- -ان- القران كقول- البشر واثبتوا ان ال---عباد يخلقون الشر -نظيرا لقول المجو-س ---الذين -اثبتوا ----خالقين احدهما يخلق الخير والاخر يخلق ال	ال وانا برء من -قوله هءلاء -ا-لقوم من ولد ديصان الثنوي الذي ينسب ا-ل-يه الثنوية وهو مذهب يعتقدون فيه خالقين احدهما يخلق النور والاخر يخلق ال	40	10	-2638921852702676418	8158646529272744628	11721	11721	2725	2725	54	140	52.85714340209961	5	Shamela0002864-ara1	Shamela0000176-ara1.completed
647	734	785	906	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0069	Shamela0000176-ara1.completed.ms119	88	عن--هم- التاوي-ل- -قا----لوا-- --في تا-ويل-- --قوله -تعالي ما يكون من نجوي ثلاثة الا هو رابعهم --ا-لم-جادلة هو ---علي العرش وعلمه -في كل- مكان وما -خالفهم في- -ذلك-- ا-حد ي	منا امر ول-ا يخلو منا عصر وانا لكما قال الله سبحانه وتعالي ما يكون من نجوي ثلاثة الا هو رابعهم ولا خمسة الا هو سادسهم ولا ادني من ذلك ولا اكثر الا هو معهم اين ما كانوا ثم ي	69	119	3943770934162568343	-3014760032708816634	20429	20429	35439	35439	61	173	50.86705017089844	11	Shamela0002864-ara1	Shamela0000176-ara1.completed
572	615	712	791	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0122	Shamela0000176-ara1.completed.ms118	111	كاة ----الي-- -قول------ه ----نور علي نور يهدي الله لنوره من يشاء ويضرب الله الامثال للناس والله بكل شء عليم --ال-نور ----وقال-- -تعا-لي اومن --كا-ن ميتا ---فا--حييناه وجعلنا -ل	كاد زيتها يضء ولولم تمسسه نار نور علي نور يهدي الله لنوره من يشاء ويضرب الله الامثال للناس والله بكل شء عليم وقوله في تفضيل الجد الفاضل والاب الكامل محمد صلي الله عليه و-عليه ال	122	118	5170352517483030217	7087522198167692429	36327	36327	35134	35134	85	177	62.71186447143555	15	Shamela0002864-ara1	Shamela0000176-ara1.completed
926	475	1137	719	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0174	Shamela0000176-ara1.completed.ms123	133	-لهم- ما-- يتقون التوبة و--قال -وكذلك اوحينا -اليك روحا- -من-- -ام--رن-ا ما كنت تدري ما الكتاب ولا الايمان ولكن جعلناه نورا نهدي به من نشاء من عبادنا الشوري -وقال فالذين -امنوا -ب---ه و-----عزروه ---ونصروه وا--تبع-وا النور -الذي انزل- معه اولءك	الامر والنفس دون ال-عقل وارواح في القدس نسبة ذاتية وايات لدنية نسمع ونري ما كنت تدري ما الكتاب ولا الايمان ولكن جعلناه نورا نهدي به من نشاء من عبادنا وتراهم ينظرون ال-يك وهم لا يبصرون ونحن معرضون ثلاث خصال والرابعة اردي لك واشقي لبالك وما احسبك	174	123	3189629327521659529	-5698945517691722101	51941	51941	36647	36647	96	246	54.065040588378906	17	Shamela0002864-ara1	Shamela0000176-ara1.completed
1373	1122	1424	1175	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0187	Shamela0000176-ara1.completed.ms118	50	اي-ت-ه في الافاق وفي انفسهم حتي يتبين لهم انه الحق ف	اياتنا في الافاق وفي انفسهم حتي يتبين لهم انه الحق ف	187	118	31728197854474318	7087522198167692429	55811	55811	35111	35111	39	53	94.3396224975586	11	Shamela0002864-ara1	Shamela0000176-ara1.completed
1132	929	1314	1146	-812960164341536448	7635508410481802022	Shamela0002864-ara1.ms0213	Shamela0000176-ara1.completed.ms118	119	ضروب-ها-- اربعة حلوبة وركوبة ------واكو-لة -وحم-ول---ة وا-لابل تجمع --هذه- الخلال كل-ها وقال سبحانه وتعالي ان في خلق السماوات والارض واختلاف الليل والنهار وا----ل-فلك ال---تي -تجري في --البحر بم-ا- ين--فع ال-ناس وما ان	ضروب واية وخبر واشارة ودلالة حيث يقول وتلك الامثال نضربها للناس وما يعقلها الا العالمون وقال سبحانه وتعالي ان في خلق السم-وات والارض واختلاف الليل والنهار لايات لاولي الالباب وقوله جل وعز سنريهم اياتنا في الافاق وفي ان	213	118	-8515433563985928545	7087522198167692429	63631	63631	35137	35137	94	218	54.587154388427734	11	Shamela0002864-ara1	Shamela0000176-ara1.completed
