section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,4,0,0,0
 خطبة الكتاب,281,0,0,0
 منهج التاليف,710,0,0,0
 فاءدة التصنيف في التاريخ,79,0,0,0
 فواءده الدنيوية,268,0,0,0
 الفواءد الاخروية,214,0,0,0
 ذكر الوقت الذي ابتدء فيه بعمل التاريخ في الاسلام,260,0,0,0
 تاريخ العرب قبل الاسلام,157,0,0,0
 القول في الزمان,42,0,0,0
 القول في جميع الزمان من اوله الي اخره,372,8,1,2.1505376344086025
 الغريب,11,0,0,0
 القول في ms0008 ابتداء الخلق وما كان اوله,144,11,1,7.638888888888889
 القول فيما خلق بعد القلم,156,0,0,0
 ما خلق ms0009 بعد الغمام,123,0,0,0
 اليوم الذي ابتدا الله فيه خلق السماوات والارض,374,0,0,0
 الايام في هذه الاخبار مجاز,77,0,0,0
 الغريب,7,0,0,0
 القول في الليل والنهار ايهما خلق قبل صاحبه,207,0,0,0
 خلق الشمس والقمر,249,0,0,0
 قصة ابليس لعنه الله وابتداء امره واطغاءه ادم عليه السلام,113,0,0,0
 ذكر الاخبار بما كان لا بليس لعنة الله من الملك وذكر الاحداث في ملكه,458,15,1,3.2751091703056767
 الغريب,14,0,0,0
 ذكر خلق ادم عليه السلام,791,0,0,0
 الاسماء التي علمها الله تعالي لادم,260,0,0,0
 ذكر اسكان ادم الجنة واخراجه منها,663,0,0,0
 ذكر اليوم الذي اسكن ادم فيه الجنة واليوم الذي اخرج فيه منها واليوم,73,0,0,0
 قدر لبث ادم في الجنة,234,0,0,0
 ذكر الموضع الذي اهبط فيه ادم وحواء من الارض,290,0,0,0
 ما يزعم من بناء ادم للبيت,570,0,0,0
 الغريب,9,0,0,0
 ذكر اخراج ذرية ادم من ظهره واخذ الميثاق,57,0,0,0
 الغريب,84,0,0,0
 ذكر الاحداث التي كانت في عهد ادم في الدنيا,1324,0,0,0
 ذكر ولادة شيث,380,0,0,0
 ذكر وفاة ادم عليه السلام,729,0,0,0
 ذكر شيث بن ادم عليه السلام,120,0,0,0
 ذكر عقب شيث,168,0,0,0
 ذكر الاحداث التي كانت من لدن ملك شيث الي ان ملك يرد,589,0,0,0
 ذكر يرد,286,0,0,0
 ذكر ملك طهمورث,180,0,0,0
 ذكر خنوخ وهو ادريس عليه السلام,439,0,0,0
 ذكر ملك جمشيد,450,0,0,0
 ذكر الاحداث التي كانت في زمن نوح عليه السلام,1335,0,0,0
 ذكر بيوراسب وهو الازدهاق الذي يسميه العرب الضحاك,745,0,0,0
 ذكر ذرية نوح عليه ms0047 السلام,78,0,0,0
 ولد سام,465,0,0,0
 ولد حام,321,0,0,0
 ذكر ملك افريدون,264,0,0,0
 ذكر الاحداث التي كانت بين نوح وابراهيم,47,0,0,0
 نبي الله هود عليه السلام,708,0,0,0
 صالح عليه السلام,989,0,0,0
 ذكر ابراهيم الخليل عليه السلام ومن كان في عصره من ملوك العجم,1406,0,0,0
 ذكر هجرة ابراهيم عليه السلام ومن امن معه,199,0,0,0
 ذكر ولادة اسماعيل عليه السلام وحمله الي مكة,758,0,0,0
 ذكر عمارة البيت الحرام بمكة,412,0,0,0
 ذكر قصة الذبح,3,0,0,0
 من هو الذبيح,143,0,0,0
 ذكر من قال انه اسحاق,287,0,0,0
 الغريب,8,0,0,0
 ذكر من قا لان الذبيح,157,0,0,0
 ذكر السبب الذي من اجله امر ابراهيم بالذبح وصفة الذبح,330,0,0,0
 ذكر ما امتحن اله به ابراهيم عليه السلام,219,0,0,0
 ذكر عدو الله نمروذ وهلاكه,583,0,0,0
 ذكر قصة قوم لوط,776,0,0,0
