section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 الجزء الاول,2,0,0,0
EDITOR|,667,0,0,0
 ,6,0,0,0
 1- [مءلفات الجاحظ والرد علي من عابها],1982,18,1,0.9081735620585267
 2- [لا تزر وازرة وزر اخري],79,0,0,0
 3- [المفقا والمعمي],126,0,0,0
 4- [ذبح العتيرة],96,0,0,0
 5- [امساك البقر عن شرب الماء],240,0,0,0
 6- [ذنب العطرق],86,0,0,0
 7- [جناية اليهودي],112,0,0,0
 8- [قتل لقمان بن عاد لنساءه وابنته],219,0,0,0
 9- [جزاء سنمار],269,0,0,0
 10- [عناية العلماء بالملح والفكاهات],122,0,0,0
 11- [اقسام الكاءنات],210,0,0,0
 12- [تقسيم النامي],81,0,0,0
 13- [تقسيم الطير],483,0,0,0
 14- [تقسيم الحيوان الي فصيح و اعجم],363,0,0,0
 15- [وساءل البيان],226,0,0,0
 16- [ما يعجز عنه الانسان مما قدر عليه الحيوان],372,0,0,0
 17- [مزج الهزل بالجد في الكتاب],194,0,0,0
 18- [نعت الكتاب],683,0,0,0
 19- [حاجة بعض الناس الي بعض],336,0,0,0
 20- [البيان ضروري للاجتماع],298,0,0,0
 21- [خطوط الهند],61,0,0,0
 22- [نفع الحساب],76,0,0,0
 23- [فضل الكتابة],201,0,0,0
 24- [فضل القلم],97,0,0,0
 25- [فضل اليد],192,0,0,0
 26- [فضل الكتاب],435,0,0,0
 27- [اقوال لبعض العلماء في فضل الكتاب],320,0,0,0
 28- [السماع و الکتابة],83,0,0,0
 29- [حرض الزنادقة علی تحسين كتبهم],233,0,0,0
 30- [مسجد دمشق],75,0,0,0
 31- [صفة كتب الزنادقة],204,0,0,0
 32- [فضل التعلم],124,0,0,0
 33- [التخصص بضروب من العلم],120,0,0,0
 34- [جمع الكتب],344,0,0,0
 35- [ضروب من الخطوط],372,0,0,0
 36- [اقوال الشعراء في الخط],401,0,0,0
 37- [الكتابات القديمة],96,0,0,0
 38- [فضل الکتابة و تسجیل المعاهدات و المحالفات],98,0,0,0
 39- [الرقوم والخطوط],71,0,0,0
 40- [اللسان والقلم],134,0,0,0
 [الخط و الحضارة],50,0,0,0
 41- [تخلید الامم لماثرها],197,0,0,0
 42- [طمس الملوك و الامراءاثار من سبقهم],76,0,0,0
 43- [تاريخ الشعر العربي],134,0,0,0
 44- [صعوبة ترجمة الشعر],157,0,0,0
 [قيمة الترجمة],94,0,0,0
 45- [شراءط الترجمان],118,0,0,0
 [ترجمة كتب الدين],411,0,0,0
 46- [مشقة تصحيح الكتب],106,0,0,0
 47- [بين انصار الكتب وانصار الشعر],218,0,0,0
 48- [فضل الحجاج فيما ابتدعه],164,0,0,0
 49- [الجمازات],99,0,0,0
 50- [الترغيب في اصطناع الكتاب],148,10,1,6.756756756756757
 51- [الكتاب قد يفضل صاحبه] ,144,0,0,0
 52- [افضل الكتب],58,0,0,0
 53- [مواصلة السير في خدمة العلم],168,0,0,0
 54- [كتب ابي حنيفة],69,0,0,0
 55- [وجوب العناية تنقيح المءلفات],115,0,0,0
 56- [تداعي المعاني في التاليف],74,0,0,0
 57- [مقايسة بين الولد والكتاب],87,0,0,0
 58- [ما ينبغي ان تكون عليه لغة الكتب],162,0,0,0
 59- [قول صحار العبدي في الايجاز و نقده],91,0,0,0
 [حقيقة الايجاز],50,0,0,0
 60- [استغلاق كتب ابي الحسن الاخفش],158,0,0,0
 61- [مواضع الاسهاب],241,0,0,0
 62- [مخاطبة العرب وبني اسراءيل في القران الكريم],46,0,0,0
 63- [اقوال لبعض الشعراء في الكتب],273,0,0,0
 64- [نشر الاخبار في العراق],159,0,0,0
 65- [استخدام الكتابة في الامور الدين والدنيا],198,0,0,0
 66- [نظام التوريث عند فلاسفة اليونانية],231,0,0,0
 67- [وراثة الكتب],341,0,0,0
 68- [قول ديموقراط تاليف كتب العلم],102,0,0,0
 69- [مقاولة في شان الكلب ],109,0,0,0
 70- [الطباءع الملفقة] «1»,251,0,0,0
 [الشيات في الحيوان ضعف و نقص],37,0,0,0
 [ابن المذكرة من المءنث],234,0,0,0
 باب ذكر ما يعتري الانسان بعد الخصاء و كيف ما كان قبل الخصاء,219,0,0,0
 71- [من طراءف عبد الاعلي القاص],163,0,0,0
 72- [طلب النسل],418,11,1,2.631578947368421
 73- [قول في الغراءز و بيان سبب شره الخصي],159,0,0,0
 74- [تفوق رغبة الاناث علي الذكور في الطعام],162,0,0,0
 75- [صوت الخصي],91,0,0,0
 76- [شعر الخصي],225,0,0,0
 77- [ذوات اللحي والشوارب],169,0,0,0
 78- [مشي الخصي],60,0,0,0
 79- [اثر الخصاء في الذكاء],324,0,0,0
 80- [خصيان السند],53,0,0,0
 81- [خصيان الحبشة والنوبة والسودان],305,0,0,0
 82- [علقمة الفحل وعلقمة الخصي],139,0,0,0
 83- [اثر تحريف كتاب هشام بن عبد الملك],133,0,0,0
 84- [ابو همام السنوط],111,0,0,0
 85- [نسل منزوع البيضة اليسري],98,0,0,0
 86- [خصاء الروم],62,0,0,0
 [الروم اول من ابتدع الخصاء],136,0,0,0
 87- [خصاء الصابءة],79,0,0,0
 88- [حديث ابي المبارك الصابي],566,8,1,1.4134275618374559
 89- [استءذان عثمان بن مظعون في الخصاء],36,0,0,0
 90- [خصاء الجلب و قسوته],157,0,0,0
