section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR|,548,0,0,0
 - 1- تعريف التاريخ واهميته وفواءده وفروعه,5,0,0,0
 تعريف التاريخ لغة:,70,0,0,0
 تعريف التاريخ اصطلاحا:,143,0,0,0
 اهمية التاريخ وفاءدته:,143,0,0,0
 فروع علم التاريخ:,387,0,0,0
 - 2- الامام ابن الجوزي مءلف الكتاب [1],5,0,0,0
 اسمه ولقبه ونسبه ومولده:,332,0,0,0
 نشاته العلمية ونبوغه:,1166,0,0,0
 الحياة الاجتماعية والاقتصادية والسياسية والفكرية في عصر ابن الجوزي:,313,0,0,0
 شيوخ ابن الجوزي:,1223,66,4,5.396565821749796
 مءلفات ابن الجوزي:,520,0,0,0
 ثناء الاءمة علي ابن الجوزي:,198,7,1,3.535353535353535
 محنة ابن الجوزي ووفاته:,368,0,0,0
 - 3- كتاب المنتظم: منهجه، واسلوبه، ومصادره، واهميته، ومختصراته، والذيول عليه,9,0,0,0
 الكتاب: منهجه واسلوبه:,1150,0,0,0
 مصادر كتاب المنتظم:,560,0,0,0
 اهمية كتاب المنتظم:,243,0,0,0
 مختصراته والذيول عليه:,126,0,0,0
 تحقيق عنوان الكتاب,147,0,0,0
 - 4- عرض للمخطوطات التي تم الاستعانة بها واعتمادها في تحقيق الكتاب,100,26,1,26.0
 ملاحظات هامة علي النسخ:,249,15,1,6.024096385542169
 - 5- منهج التحقيق,335,28,1,8.358208955223882
 - 6- ثبت المراجع والمصادر المعتمد عليها في التحقيق,9458,24,2,0.2537534362444491
 مقدمة المصنف,185,0,0,0
 ذكر ترتيب هذا الكتاب,385,0,0,0
 فصل,306,0,0,0
 ذكر الدليل علي وجود الخالق سبحانه وتعالي [1],441,60,1,13.60544217687075
 ذكر بداية الخلق,518,250,4,48.26254826254826
 فصل,152,10,1,6.578947368421052
 فصل,123,46,1,37.39837398373984
 فصل,184,9,1,4.891304347826087
 فصل,228,18,2,7.894736842105263
 فصل,323,37,1,11.455108359133128
 ابواب ذكر المخلوقات,3,0,0,0
 ذكر خلق الارض [1],590,7,1,1.1864406779661016
 باب ذكر البلاد,96,0,0,0
 اما الاقليم الاول: [2],97,0,0,0
 والاقليم الثاني: [1],79,0,0,0
 والاقليم الثالث: [2],93,0,0,0
 والاقليم الرابع: [5],86,0,0,0
 والاقليم الخامس: [2],37,0,0,0
 والاقليم السادس: [3],21,0,0,0
 والاقليم السابع: [4],888,143,3,16.103603603603602
 ذكر الجبال,227,46,1,20.26431718061674
 من مشاهير الجبال,2260,104,2,4.601769911504425
 فصل,97,0,0,0
 ذكر التلاع والعقاب والتلال [3],44,0,0,0
 ذكر الرمال,85,0,0,0
 ذكر القلاع [6],138,0,0,0
 ذكر الابنية الحصينة,35,0,0,0
 ذكر المعادن [3],25,0,0,0
 ذكر البحار [1],1111,42,2,3.7803780378037803
 باب المياه التي تسمي بالبحيرات [3] :,39,0,0,0
 ذكر الانهار والعيون [1],685,332,6,48.46715328467153
 مخارج الانهار,680,14,1,2.0588235294117645
 فصل,304,32,1,10.526315789473683
 باب ذكر طرف من عجاءب ما في الارض,1179,266,4,22.561492790500424
 باب ذكر اول من سكن الارض [1],145,13,1,8.96551724137931
 باب ذكر سكان الارض,181,42,1,23.204419889502763
 باب ذكر من ملك الارض كلها [1],149,0,0,0
 باب ذكر ما تحت الارض,61,0,0,0
 باب ذكر سكان الارضين السبع [1],167,0,0,0
 باب ذكر الجن والشياطين [1],432,87,2,20.13888888888889
 باب ذكر ابليس لعنه الله [1],776,158,3,20.36082474226804
 باب ذكر اجناس الطير وحيوان البر والبحر,90,0,0,0
 باب ذكر جهنم,481,216,5,44.90644490644491
 باب ذكر السماء والسموات [1],249,0,0,0
 ذكر ما بين السماء والسماء [1],208,50,1,24.03846153846154
 ذكر الشمس والقمر والنجوم [1],716,153,3,21.368715083798882
 ذكر البيت المعمور [1],152,22,1,14.473684210526317
 ذكر ما بعد السموات السبع,175,61,2,34.85714285714286
 ثم الكرسي [2] .,19,0,0,0
 ثم العرش [4],14,0,0,0
