section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR| ,2766,62,4,2.2415039768618943
 [مقدمة ابن عبد الحكم],217,116,1,53.45622119815668
 ذكر وصية رسول الله صلي الله عليه وسلم بالقبط,837,402,12,48.028673835125446
 ذكر بعض فضاءل مصر,724,62,4,8.56353591160221
 ذكر نزول القبط بمصر وسكناهم بها,864,44,2,5.092592592592593
 ذكر دخول ابراهيم مصر,657,59,3,8.980213089802131
 ذكر ظفر العمالقة بمصر وامر يوسف,425,82,2,19.294117647058822
 ذكر استنباط الفيوم,803,15,1,1.86799501867995
 ذكر دخول اهل يوسف مصر ووفاة يعقوب ودفنه,494,58,4,11.740890688259109
 ذكر وفاة يوسف,203,52,2,25.615763546798032
 ذكر ملوك مصر بعد زمان يوسف,535,71,5,13.271028037383179
 ذكر حمل عظام يوسف الي الشام,572,42,3,7.3426573426573425
 ذكر خروج بني اسراءيل من مصر,1093,243,11,22.2323879231473
 ذكر الملكة دلوكة,219,0,0,0
 ذكر عمل البرابي,245,0,0,0
 ذكر ملوك مصر بعد العجوز دلوكة,760,17,1,2.236842105263158
 ذكر دخول بخت نصر مصر,852,52,3,6.103286384976526
 ذكر ظهور الروم وفارس علي مصر,398,43,3,10.804020100502512
 @Auto_ISB@ ذكر انكشاف فارس عن الروم,648,53,1,8.179012345679013
 ذكر بناء الاسكندرية,1813,253,14,13.95477109762824
 ذكر كتاب رسول الله صلي الله عليه واله الي المقوقس,2730,511,19,18.71794871794872
 ذكر سبب دخول عمرو بن العاص مصر,689,19,1,2.7576197387518144
 ذكر فتح مصر,8703,547,29,6.285189015282086
 ذكر من قال ان مصر فتحت بصلح,1088,192,9,17.647058823529413
 ذكر من قال فتحت مصر عنوة,821,255,11,31.059683313032888
 ذكر الخطط,2089,361,13,17.280995691718527
 ذكر من اختط حول المسجد الجامع مع عمرو بن العاص,8844,594,26,6.7164179104477615
 خطط الجيزة,371,39,2,10.512129380053908
 ذكر اخاءذ الاسكندرية,329,30,2,9.118541033434651
 الزيادة في المسجد الجامع,395,0,0,0
 ذكر القطاءع,1780,95,4,5.337078651685393
 خروج عمرو الي الريف,628,63,4,10.031847133757962
 ذكر مرتبع الجند,304,0,0,0
 ذكر خيل مصر,797,90,4,11.292346298619824
 ذكر مقاسمة عمر بن الخطاب العمال,723,35,2,4.840940525587829
 ذكر النيل,584,123,6,21.06164383561644
 ذكر الجزية,1559,266,13,17.06221937139192
 ذكر المقطم,456,63,4,13.815789473684212
 ذكر استبطاء عمر بن الخطاب عمرو بن العاص في الخراج,946,17,1,1.7970401691331923
 ذكر نهي الجند عن الزرع,232,15,1,6.4655172413793105
 ذكر حفر خليج امير المءمنين,1968,184,9,9.34959349593496
 ذكر فتح الفيوم,217,0,0,0
 ذكر فتح برقة,269,75,4,27.881040892193308
