section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [السيرة النبوية],46,0,0,0
 مقدمة [التحقيق],46,0,0,0
 (المغازي والسير) :,245,0,0,0
 (التاريخ عند العرب) :,212,0,0,0
 (بدء التاليف في السيرة) :,346,0,0,0
 (علم السيرة في ادواره المختلفة) :,354,0,0,0
 (نشاة الموالد) :,137,0,0,0
 (السير والنقد) :,389,0,0,0
 (مءلفون جمعوا بين السيرة والتاريخ) :,68,0,0,0
 [سيرة ابن اسحاق],3,0,0,0
 (سبب وضع سيرة ابن اسحاق) :,348,0,0,0
 (اثر ابن هشام في سيرة ابن اسحاق) :,278,0,0,0
 (السهيلي وغيره من شراح سيرة ابن هشام) :,139,0,0,0
 (مختصر وسيرة ابن اسحاق) :,82,0,0,0
 (ناظمو سيرة ابن اسحاق) :,143,0,0,0
 ابن اسحاق,2,0,0,0
 (نسبه) :,95,0,0,0
 (مولده ووفاته) :,29,0,0,0
 (نشاته وحياته) :,192,0,0,0
 (منزلته ومكانته) :,735,0,0,0
 ابن هشام,2,0,0,0
 (نسبه) :,75,0,0,0
 (نشاته) :,46,0,0,0
 (مولده ووفاته) :,64,0,0,0
 (منزلته) :,75,0,0,0
 (اثاره) :,70,0,0,0
 السهيلي,1,0,0,0
 (اسمه ولقبه) :,44,0,0,0
 (موطنه والبلاد التي تنقل فيها) :,76,0,0,0
 (مولده ووفاته) :,51,0,0,0
 (مءلفاته وعلمه واخلاقه) :,363,0,0,0
 ابو ذر الخشني,3,0,0,0
 (نسبه) :,304,0,0,0
 (منزلته ومءلفاته وشء عنه) :,267,0,0,0
 (مولده ووفاته) :,136,0,0,0
 عملنا في السيرة,379,0,0,0
 ذكر سرد النسب الزكي من محمد صلي الله عليه واله وسلم، الي ادم عليه السلام,306,22,1,7.18954248366013
 (نهج ابن هشام في هذا الكتاب) :,150,0,0,0
 سياقة Milestone300 النسب من ولد اسماعيل عليه السلام,7,0,0,0
