section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,167,0,0,0
 ذكر ما اسند مالك مما روي عنه فيه | الموطا علي اختلاف الرواة عنه في | بذكر اختلافهم واتفاقهم وانفراد | بعضهم بالرواية عنه فيه علي بعض | دون غير الموطا من حديثه,31,0,0,0
 1 - ذكر ما اسند في الموطا عن الزهري,7,0,0,0
 عن انس بن مالك,27,0,0,0
 الزهري عن سهل بن سعد,10,0,0,0
 ابو امامة بن سهل,41,0,0,0
 الساءب بن يزيد,11,0,0,0
 محمد بن جبير بن مطعم,50,0,0,0
 عبد الله بن عامر بن ربيعة,14,0,0,0
 محمود بن الربيع,10,0,0,0
 علي بن الحسين,16,0,0,0.0
 عبد الله والحسن ابني محمد,12,0,0,0
 محمد بن عبد الله بن الحارث بن نوفل,16,0,0,0
 صفوان بن عبد الله بن صفوان,18,0,0,0.0
 الزهري عن عيسي بن طلحة بن عبيد الله,18,0,0,0
 عامر بن سعد,8,0,0,0
 ابو بكر بن عبيد الله,10,0,0,0
 عباد بن زياد عن المغيرة,9,0,0,0
 ابن اكيمة عن ابي هريرة,9,0,0,0
 عباد بن تميم عن عمه,9,0,0,0
 ابو بكر بن عبد الرحمن عن ابي مسعود,13,0,0,0
 مالك بن اوس,8,0,0,0
 عبد الرحمن بن كعب,9,0,0,0
 سليمان بن يسار,13,0,0,0
 اسماعيل بن محمد بن @Auto_ISB@ ثابت,26,14,1,53.84615384615385
 عبد الحميد بن عبد الرحمن,17,0,0,0
 عثمان بن اسحاق بن خرشة,18,0,0,0
 عبد الرحمن الاعرج ms02,19,0,0,0
 ابو ادريس الخولاني,25,0,0,0
 حرام بن سعيد بن محيصة,16,0,0,0
 ابو عبيد مولي ابن ازهر,20,0,0,0
 عطاء بن يزيد,36,0,0,0
 سالم بن عبد الله,106,0,0,0
 سعيد بن المسيب,65,0,0,0
 سعيد وابو سلمة,35,0,0,0
 الزهري عن ابي سلمة,110,0,0,0
 حميد بن عبد الرحمن,73,0,0,0
 عبيد الله بن عبد الله,165,30,1,18.181818181818183
 ابو عبد الله سلمان الاغر,19,0,0,0
 عروة بن الزبير,143,32,1,22.377622377622377
 ابن السباق,7,0,0,0
