section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR| ,3986,25,2,0.6271951831409934
 خطبة الكتاب,440,50,1,11.363636363636363
 عصر النبي والخلفاء الاولين,4,0,0,0
 1- جعفر بن ابي طالب,718,269,7,37.46518105849582
 ذكر مقتل جعفر بن ابي طالب والسبب فيه وبعض اخباره,1160,459,14,39.56896551724138
 2- محمد بن جعفر,746,123,3,16.487935656836463
 3- علي بن ابي طالب,745,147,5,19.731543624161073
 ثم ms026 نعود الي ذكر خبر مقتله والسبب فيه,3220,395,14,12.267080745341614
 عصر بني امية,3,0,0,0
 4- الحسن بن علي,676,139,4,20.562130177514792
 ذكر الخبر ms039 في بيعته بعد وفاة امير المءمنين علي (ع) وتسليمه الامر الي معاوية والسبب في وفاته,5231,744,19,14.222901930797171
 5- الحسين,1,0,0,0
 ذكر خبر الحسين بن علي «3» بن ابي طالب ومقتله ومن قتل معه من اهله,304,63,2,20.723684210526315
 فمنهم مسلم بن عقيل بن ابي طالب عليه السلام,41,0,0,0
 وعلي بن الحسين وهو علي الاكبر ولا عقب له,245,58,3,23.6734693877551
 وعبد الله بن علي بن ابي طالب,288,73,1,25.34722222222222
 وجعفر بن علي بن ابي طالب- عليه السلام-,105,0,0,0
 وعثمان بن علي بن ابي طالب- عليه السلام-,85,0,0,0
 والعباس بن ms060 علي بن ابي طالب- عليه السلام-,298,63,1,21.140939597315437
 ومحمد الاصغر بن علي ms061 بن ابي طالب,56,0,0,0.0
 وابو بكر بن علي بن ابي طالب,230,22,1,9.565217391304348
 وابو بكر ... بن الحسين بن علي بن ابي طالب,65,0,0,0
 والقاسم بن الحسن بن علي بن ابي طالب,243,38,1,15.637860082304528
 (وعبد الله بن الحسن بن علي بن ابي طالب) ,63,12,1,19.047619047619047
 (وعبد الله بن الحسين بن علي بن ابي طالب) ,256,24,1,9.375
 (وعون بن عبد الله بن جعفر بن ابي طالب الاكبر) ,110,35,1,31.818181818181817
 (ومحمد بن عبد الله بن جعفر بن ابي طالب) ,135,0,0,0
 (وعبيد الله بن عبد الله بن جعفر بن ابي طالب) ,37,0,0,0
 (وعبد الرحمن بن عقيل بن ابي طالب) ,31,0,0,0
 (وجعفر بن عقيل بن ابي طالب) ,113,0,0,0
 (وعبد الله الاكبر بن عقيل بن ابي طالب) ,24,0,0,0
 (ومحمد بن مسلم بن عقيل بن ابي طالب) ,27,0,0,0
 (وعبد الله بن مسلم بن عقيل بن ابي طالب) ,47,0,0,0
 (ومحمد بن ابي سعيد الاحول بن عقيل بن ابي طالب) ,126,0,0,0
 (ثم نرجع الي ذكر خبر الحسين بن علي ومقتله) صلوات الله عليه ,3808,125,5,3.2825630252100844
 (رجع الحديث الي مقتله صلوات الله عليه) ,1703,131,3,7.6923076923076925
 6- ابو بكر بن عبد الله بن جعفر,67,0,0,0
 7- عون بن عبد الله بن جعفر,109,0,0,0.0
 8- عبيد الله بن علي,63,0,0,0.0
 9- عبد الله بن محمد بن علي,194,0,0,0
 10- زيد بن علي,1135,453,17,39.91189427312775
 (مقتل زيد بن علي والسبب فيه) ,2468,169,7,6.8476499189627225
