section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,25,0,0,0.0
EDITOR|,371,0,0,0.0
 النص المحقق,396,92,6,23.232323232323232
 قوله: {ولا يبدين زينتهن الا ما ظهر} *,530,240,13,45.28301886792453
 قوله: {وليضربن بخمرهن علي جيوبهن} *,119,32,2,26.89075630252101
 قوله. {ولا يبدين زينتهن الا لبعولتهن} الي {او نساءهن},375,111,4,29.599999999999998
 قوله: {او نساءهن} *,419,112,6,26.730310262529834
 قوله {او ما ملكت ايمانهن} *,1165,319,16,27.381974248927037
 قوله: {او التابعين غير اولي الاربة} *,138,83,5,60.14492753623188
 قوله {او الطفل} *,408,77,6,18.872549019607842
 قوله، {ولا يضربن بارجلهن ليعلم ما يخفين من زينتهن} *,245,51,4,20.816326530612244
 قوله: {وتوبوا الي الله جميعا} *,277,47,3,16.967509025270758
 تغليظ ما (.) (1) اعظي المعاصي والتغلبة في ذلك *,87,35,2,40.229885057471265
 كراهية النظر الي الاماء الا للبيع وذكر القناع *,389,188,9,48.329048843187664
EDITOR|,9,0,0,0
